track_id,artist,title,key,mode,loudness,tempo,key_confidence,mode_confidence,h5_path
TRAAAAW128F429D538,Casual,I Didn't Mean To,1,0,-11.197,92.198,0.736,0.636,data/millionsongsubset_extracted/MillionSongSubset\A\A\A\TRAAAAW128F429D538.h5
TRAAABD128F429CF47,The Box Tops,Soul Deep,6,0,-9.843,121.274,0.169,0.43,data/millionsongsubset_extracted/MillionSongSubset\A\A\A\TRAAABD128F429CF47.h5
TRAAADZ128F9348C2E,Sonora Santanera,Amor De Cabaret,8,1,-9.689,100.07,0.643,0.565,data/millionsongsubset_extracted/MillionSongSubset\A\A\A\TRAAADZ128F9348C2E.h5
TRAAAEF128F4273421,Adam Ant,Something Girls,0,1,-9.013,119.293,0.751,0.749,data/millionsongsubset_extracted/MillionSongSubset\A\A\A\TRAAAEF128F4273421.h5
TRAAAFD128F92F423A,Gob,Face the Ashes,2,1,-4.501,129.738,0.092,0.371,data/millionsongsubset_extracted/MillionSongSubset\A\A\A\TRAAAFD128F92F423A.h5
TRAAAMO128F1481E7F,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),5,1,-9.323,147.782,0.635,0.557,data/millionsongsubset_extracted/MillionSongSubset\A\A\A\TRAAAMO128F1481E7F.h5
TRAAAMQ128F1460CD3,Rated R,Keepin It Real (Skit),1,1,-17.302,111.787,0.0,0.0,data/millionsongsubset_extracted/MillionSongSubset\A\A\A\TRAAAMQ128F1460CD3.h5
TRAAARJ128F9320760,Planet P Project,Pink World,4,1,-13.496,86.643,0.717,0.652,data/millionsongsubset_extracted/MillionSongSubset\A\A\A\TRAAARJ128F9320760.h5
TRAAAPK128E0786D96,Tweeterfriendly Music,Drop of Rain,4,0,-11.642,101.43,0.0,0.16,data/millionsongsubset_extracted/MillionSongSubset\A\A\A\TRAAAPK128E0786D96.h5
TRAAAVO128F93133D4,JennyAnyKind,Young Boy Blues,5,0,-10.021,146.765,0.354,0.485,data/millionsongsubset_extracted/MillionSongSubset\A\A\A\TRAAAVO128F93133D4.h5
TRAAAVG12903CFA543,Clp,Insatiable (Instrumental Version),7,0,-6.697,114.041,0.053,0.473,data/millionsongsubset_extracted/MillionSongSubset\A\A\A\TRAAAVG12903CFA543.h5
TRAABCL128F4286650,Wayne Watson,The Urgency (LP Version),7,1,-7.545,117.975,0.07,0.686,data/millionsongsubset_extracted/MillionSongSubset\A\A\B\TRAABCL128F4286650.h5
TRAABDL12903CAABBA,Andy Andy,La Culpa,9,1,-6.632,130.04,0.205,0.305,data/millionsongsubset_extracted/MillionSongSubset\A\A\B\TRAABDL12903CAABBA.h5
TRAABLR128F423B7E3,Blue Rodeo,Floating,7,1,-8.576,119.826,1.0,0.829,data/millionsongsubset_extracted/MillionSongSubset\A\A\B\TRAABLR128F423B7E3.h5
TRAABJL12903CDCF1A,Bob Azzam,Auguri Cha Cha,10,0,-7.75,137.334,0.0,0.198,data/millionsongsubset_extracted/MillionSongSubset\A\A\B\TRAABJL12903CDCF1A.h5
TRAABJV128F1460C49,Lionel Richie,Tonight Will Be Alright,3,1,-8.346,125.197,0.524,0.533,data/millionsongsubset_extracted/MillionSongSubset\A\A\B\TRAABJV128F1460C49.h5
TRAABNV128F425CEE1,Richard Souther,High Tide,8,1,-16.11,127.756,0.041,0.516,data/millionsongsubset_extracted/MillionSongSubset\A\A\B\TRAABNV128F425CEE1.h5
TRAABVM128F92CA9DC,Tesla,Caught In A Dream,7,1,-5.271,150.062,0.725,0.756,data/millionsongsubset_extracted/MillionSongSubset\A\A\B\TRAABVM128F92CA9DC.h5
TRAABRB128F9306DD5,Faiz Ali Faiz,Sohna Nee Sohna Data,6,1,-8.032,99.273,0.06,0.346,data/millionsongsubset_extracted/MillionSongSubset\A\A\B\TRAABRB128F9306DD5.h5
TRAABXG128F9318EBD,lextrical,Synthetic Dream,7,1,-6.787,138.331,0.011,0.568,data/millionsongsubset_extracted/MillionSongSubset\A\A\B\TRAABXG128F9318EBD.h5
TRAACER128F4290F96,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,7,1,-4.264,166.862,0.381,0.453,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACER128F4290F96.h5
TRAACCG128F92E8A55,Elena,Setanta matins,2,1,-8.05,111.874,0.596,0.666,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACCG128F92E8A55.h5
TRAABYN12903CFD305,Jimmy Wakely,Broken-Down Merry-Go-Round,1,1,-15.221,86.186,0.799,0.716,data/millionsongsubset_extracted/MillionSongSubset\A\A\B\TRAABYN12903CFD305.h5
TRAACFV128F935E50B,SUE THOMPSON,James (Hold The Ladder Steady),10,1,-12.332,137.522,0.697,0.541,data/millionsongsubset_extracted/MillionSongSubset\A\A\C\TRAACFV128F935E50B.h5
