filename,artist,title,matched,match_type,match_score,msd_track_id,msd_artist,msd_title
Sue Thompson - James (Hold the Ladder Steady).mp3,Sue Thompson,James (Hold the Ladder Steady),True,exact,100.0,TRAACFV128F935E50B,SUE THOMPSON,James (Hold The Ladder Steady)
Tim Wilson - I Think My Wife Is Running Around On Me (Taco Hell).mp3,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),True,exact,100.0,TRAACLV128F427E123,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell)
Jimmy Wakely - Broken Down Merry-Go-Round.mp3,Jimmy Wakely,Broken Down Merry-Go-Round,True,exact,100.0,TRAABYN12903CFD305,Jimmy Wakely,Broken-Down Merry-Go-Round
CLP - Superconfidential.mp3,CLP,Superconfidential,True,exact,100.0,TRAACIW12903CC0F6D,Clp,Superconfidential
Bob Azzam - Auguri Cha Cha.mp3,Bob Azzam,Auguri Cha Cha,True,exact,100.0,TRAABJL12903CDCF1A,Bob Azzam,Auguri Cha Cha
The Dillinger Escape Plan - Setting Fire to Sleeping Giants.mp3,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,True,exact,100.0,TRAACER128F4290F96,The Dillinger Escape Plan,Setting Fire to Sleeping Giants
Richard Souther - High Tide.mp3,Richard Souther,High Tide,True,exact,100.0,TRAABNV128F425CEE1,Richard Souther,High Tide
Adam Ant - Something Girls.mp3,Adam Ant,Something Girls,True,exact,100.0,TRAAAEF128F4273421,Adam Ant,Something Girls
Lionel Richie - Tonight Will Be Alright.mp3,Lionel Richie,Tonight Will Be Alright,True,exact,100.0,TRAABJV128F1460C49,Lionel Richie,Tonight Will Be Alright
Terry Callier - Do You Finally Need A Friend.mp3,Terry Callier,Do You Finally Need A Friend,True,exact,100.0,TRAACPE128F421C1B9,Terry Callier,Do You Finally Need A Friend
La Sonora Santanera - Amor de Cabaret (with Río Roma).mp3,La Sonora Santanera,Amor de Cabaret (with Río Roma),True,fuzzy_combined,95.52238805970148,TRAAADZ128F9348C2E,Sonora Santanera,Amor De Cabaret
Despina Vandi - Oute Ena Efharisto.mp3,Despina Vandi,Oute Ena Efharisto,True,exact,100.0,TRAADED128F42741FD,Despina Vandi,OUTE ENA EFHARISTO
Blue Rodeo - Floating (2012 Remaster).mp3,Blue Rodeo,Floating (2012 Remaster),False,,0.0,,,
Alice Stuart - Kassie Jones.mp3,Alice Stuart,Kassie Jones,True,exact,100.0,TRAABYW128F4244559,Alice Stuart,Kassie Jones
FP do Trem Bala - Bota Culpa na Bebida.mp3,FP do Trem Bala,Bota Culpa na Bebida,False,,0.0,,,
Billie Jo Spears - It Makes the Difference Now.mp3,Billie Jo Spears,It Makes the Difference Now,True,fuzzy_combined,91.95402298850574,TRAACTB12903CAAF15,Billie Jo Spears,It Makes No Difference Now
Tweeterfriendly Music - Drop of Rain.mp3,Tweeterfriendly Music,Drop of Rain,True,exact,100.0,TRAAAPK128E0786D96,Tweeterfriendly Music,Drop of Rain
Élena - Setanta matins.mp3,Élena,Setanta matins,False,,0.0,,,
Sierra Maestra - Dónde Va Chichi_.mp3,Sierra Maestra,Dónde Va Chichi?,True,exact,100.0,TRAACZK128F4243829,Sierra Maestra,¿Dónde va Chichi?
Rated R - Keepin It Real (Skit).mp3,Rated R,Keepin It Real (Skit),True,exact,100.0,TRAAAMQ128F1460CD3,Rated R,Keepin It Real (Skit)
Faye Adams - Crazy Mixed Up World.mp3,Faye Adams,Crazy Mixed Up World,True,exact,100.0,TRAACOW128F933E35F,Faye Adams,Crazy Mixed Up World
JennyAnyKind - Young Boy Blues.mp3,JennyAnyKind,Young Boy Blues,True,exact,100.0,TRAAAVO128F93133D4,JennyAnyKind,Young Boy Blues
Jacob Young - In a Subtle Way.mp3,Jacob Young,In a Subtle Way,True,exact,100.0,TRAADHS12903CE70A9,Jacob Young,In A Subtle Way
Jeff & Sheri Easter - The Moon And I (Ordinary Day Album Version).mp3,Jeff & Sheri Easter,The Moon And I (Ordinary Day Album Version),True,fuzzy_combined,94.11764705882352,TRAAAMO128F1481E7F,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version)
The Shangri-Las - Twist And Shout.mp3,The Shangri-Las,Twist And Shout,True,exact,100.0,TRAACSL128F93462F4,The Shangri-Las,Twist and Shout
Casual - I Didn't Mean To.mp3,Casual,I Didn't Mean To,True,exact,100.0,TRAAAAW128F429D538,Casual,I Didn't Mean To
Willie Bobo - Spanish Grease.mp3,Willie Bobo,Spanish Grease,True,exact,100.0,TRAACNS128F14A2DF5,Willie Bobo,Spanish Grease
The Box Tops - Soul Deep.mp3,The Box Tops,Soul Deep,True,exact,100.0,TRAAABD128F429CF47,The Box Tops,Soul Deep
Planet P Project - Pink World.mp3,Planet P Project,Pink World,True,exact,100.0,TRAAARJ128F9320760,Planet P Project,Pink World
John Wesley - The Emperor Falls (Live).mp3,John Wesley,The Emperor Falls (Live),True,fuzzy_combined,92.06349206349206,TRAACQT128F9331780,John Wesley,The Emperor Falls
The Suicide Machines - Burning In The Aftermath.mp3,The Suicide Machines,Burning In The Aftermath,True,exact,100.0,TRAADLH12903CA70EE,The Suicide Machines,Burning In The Aftermath
Loudon Wainwright III - Human Cannonball.mp3,Loudon Wainwright III,Human Cannonball,True,exact,100.0,TRAADLX128F1469250,Loudon Wainwright III,Human Cannonball
Scarlet's Remains - Spin.mp3,Scarlet's Remains,Spin,True,exact,100.0,TRAADIV12903CB15C1,Scarlet's Remains,Spin
John Hammond - I Can't Be Satisfied.mp3,John Hammond,I Can't Be Satisfied,True,exact,100.0,TRAADOF12903CAA1C1,John Hammond,I Can't Be Satisfied
R.L. Burnside - Glory Be.mp3,R.L. Burnside,Glory Be,True,exact,100.0,TRAADMH128F9343E59,R.L. Burnside,Glory Be
Stevie Ray Vaughan & Double Trouble - Crossfire.mp3,Stevie Ray Vaughan & Double Trouble,Crossfire,False,,0.0,,,
Tesla - Caught In a Dream.mp3,Tesla,Caught In a Dream,True,exact,100.0,TRAABVM128F92CA9DC,Tesla,Caught In A Dream
Roberto Torres - Sabor Guajiro.mp3,Roberto Torres,Sabor Guajiro,True,exact,100.0,TRAADLR12903CF8D7E,Roberto Torres,Sabor Guajiro
Chris Rea - Driving Home for Christmas.mp3,Chris Rea,Driving Home for Christmas,True,exact,100.0,TRAAEEH128E0795DFE,Chris Rea,Driving Home For Christmas
Perrey And Kingsley - Spooks In Space.mp3,Perrey And Kingsley,Spooks In Space,True,exact,100.0,TRAAELO128F9302DD1,Perrey And Kingsley,Spooks In Space
Eliane Elias - The More I See You.mp3,Eliane Elias,The More I See You,True,exact,100.0,TRAADYB128F92D7E73,Eliane Elias,The More I See You
Yamandu Costa - Mafuá.mp3,Yamandu Costa,Mafuá,True,exact,100.0,TRAAEDJ12903CCE390,Yamandu Costa,Mafuá
Kings Of Leon - Wicker Chair.mp3,Kings Of Leon,Wicker Chair,True,exact,100.0,TRAAEWG128F930B3A4,Kings Of Leon,Wicker Chair
Ec8or - Cocain Ducks.mp3,Ec8or,Cocain Ducks,True,exact,100.0,TRAADRN128F932D607,Ec8or,Cocain Ducks
Lost Boyz - Certain Things We Do (Album Version Explicit).mp3,Lost Boyz,Certain Things We Do (Album Version Explicit),False,,0.0,,,
Eurythmics - Tous Les Garçons Et Les Filles (Remastered Version).mp3,Eurythmics,Tous Les Garçons Et Les Filles (Remastered Version),True,exact,100.0,TRAAEMJ128F425A917,Eurythmics,Tous Les Garçons Et Les Filles
Casiotone for the Painfully Alone - Nashville Parthenon.mp3,Casiotone for the Painfully Alone,Nashville Parthenon,True,exact,100.0,TRAADQX128F422B4CF,Casiotone For The Painfully Alone,Nashville Parthenon
TARAS - I Will Love Again (JJ's Club Radio).mp3,TARAS,I Will Love Again (JJ's Club Radio),True,exact,100.0,TRAAFEB128F92F8694,Taras,I Will Love Again (JJ's Club Radio)
NOFX - Stickin In My Eye.mp3,NOFX,Stickin In My Eye,True,exact,100.0,TRAAFJW128F428A424,NOFX,Stickin In My Eye
The Berzerker - Deform (live).mp3,The Berzerker,Deform (live),True,exact,100.0,TRAAEUB12903CDD3EA,The Berzerker,Deform (live)
"The New York Dolls - Human Being (Recorded at Planet Studios, NYC, March 1973).mp3",The New York Dolls,"Human Being (Recorded at Planet Studios, NYC, March 1973)",False,,0.0,,,
The Germs - Forming.mp3,The Germs,Forming,True,exact,100.0,TRAAEAM128F934B199,The Germs,Forming
Edith Lefel - An ti chans' (Remastered 2024).mp3,Edith Lefel,An ti chans' (Remastered 2024),True,exact,100.0,TRAAEXM128F92D47C8,Edith Lefel,An ti chans'
Vickie Winans - Make Me Over.mp3,Vickie Winans,Make Me Over,True,exact,100.0,TRAAERU128F930674F,Vickie Winans,Make Me Over
Murskahumppa - Ota kiinni.mp3,Murskahumppa,Ota kiinni,True,exact,100.0,TRAAFKJ12903D02552,Murskahumppa,Ota kiinni
Bruce Rowland - Rosemary Recalls.mp3,Bruce Rowland,Rosemary Recalls,True,exact,100.0,TRAAFON128F42926FB,Bruce Rowland,Rosemary Recalls
Francis Dunnery - Too Much Saturn.mp3,Francis Dunnery,Too Much Saturn,True,exact,100.0,TRAAENC128F1451DE9,Francis Dunnery,Too Much Saturn
Xcultures - Sudanese Dance.mp3,Xcultures,Sudanese Dance,True,exact,100.0,TRAAFRU128F9339158,Xcultures,Sudanese Dance
Suzanne Ciani - Stream.mp3,Suzanne Ciani,Stream,True,exact,100.0,TRAAEOU128F9309DE0,Suzanne Ciani,Stream
Nine Inch Nails - Metal (Remix).mp3,Nine Inch Nails,Metal (Remix),True,exact,100.0,TRAAGEC128E079252C,Nine Inch Nails,Metal
T.G. Sheppard - You Feel Good All Over.mp3,T.G. Sheppard,You Feel Good All Over,True,exact,100.0,TRAAGOH128F42593CE,T.G. Sheppard,You Feel Good All Over
Queens Of The Stone Age - I Never Came (Alive in the Catacombs).mp3,Queens Of The Stone Age,I Never Came (Alive in the Catacombs),False,,0.0,,,
Hank Penny and The Lincoln Penny Orchestra - Dixie.mp3,Hank Penny and The Lincoln Penny Orchestra,Dixie,True,fuzzy_combined,95.65217391304348,TRAAGUA128F93236E8,Hank Penny & The Lincoln Penny Orchestra,Dixie
Borialis - Hourglass (Edited).mp3,Borialis,Hourglass (Edited),False,,0.0,,,
Slim Whitman - Indian love call.mp3,Slim Whitman,Indian love call,True,exact,100.0,TRAAGPF12903CE027E,Slim Whitman,Indian Love Call
Sonny Simmons - A Distant Voice.mp3,Sonny Simmons,A Distant Voice,True,exact,100.0,TRAAHKE128F421389B,Sonny Simmons,A Distant Voice
Smartbomb - Complicate It.mp3,Smartbomb,Complicate It,True,exact,100.0,TRAAGKF128F932D5A2,Smartbomb,Complicate It
Heavy D - Wanna Be A Player (Album Version).mp3,Heavy D,Wanna Be A Player (Album Version),True,fuzzy_combined,86.20689655172413,TRAAFUJ128F933F42B,Heavy D / McGruff,Wanna Be A Player
Soda Stereo - Entre Caníbales (Remasterizado 2007).mp3,Soda Stereo,Entre Caníbales (Remasterizado 2007),True,exact,100.0,TRAAFMS128F933AB23,Soda Stereo,Entre Caníbales
The Dirty Skirts - Wake.mp3,The Dirty Skirts,Wake,True,exact,100.0,TRAAGXN128F92DE52C,The Dirty Skirts,Wake
Flor Silvestre - Un Golpe Más.mp3,Flor Silvestre,Un Golpe Más,False,,0.0,,,
The Black Eyed Peas - Let's Get It Started (Spike Mix).mp3,The Black Eyed Peas,Let's Get It Started (Spike Mix),True,fuzzy_combined,94.73684210526316,TRAAGCZ128F93210FD,Black Eyed Peas,Let's Get It Started
Lesley Gore - It's My Party.mp3,Lesley Gore,It's My Party,True,exact,100.0,TRAAGJV128F1464090,Lesley Gore,It's My Party
Kai Winding - Mangos.mp3,Kai Winding,Mangos,True,exact,100.0,TRAAHJX128F9312B83,Kai Winding,Mangos
Bézu - Le Tortillard.mp3,Bézu,Le Tortillard,True,exact,100.0,TRAAHDH128F93094B6,Bézu,Le tortillard
Ellen McIlwaine - Take Me To The River.mp3,Ellen McIlwaine,Take Me To The River,False,,0.0,,,
Inspiral Carpets - Commercial Reign (Rub-A-Dub Mix).mp3,Inspiral Carpets,Commercial Reign (Rub-A-Dub Mix),True,exact,100.0,TRAAGVF128E0789785,Inspiral Carpets,Commercial Reign
Redman - WKYA (Drop).mp3,Redman,WKYA (Drop),True,exact,100.0,TRAAHEG128E07861C3,Redman,WKYA (drop)
"Julien Clerc - This Melody (Live à l’Opéra National de Paris, Palais Garnier, 2012).mp3",Julien Clerc,"This Melody (Live à l’Opéra National de Paris, Palais Garnier, 2012)",False,,0.0,,,
Vince Guaraldi - Choro (Remastered 1998).mp3,Vince Guaraldi,Choro (Remastered 1998),True,fuzzy_combined,86.36363636363636,TRATTGP128F932854B,Vince Guaraldi,Corcovado
Savage Garden - You Can Still Be Free.mp3,Savage Garden,You Can Still Be Free,True,exact,100.0,TRAAGPH128F4273C8D,Savage Garden,You Can Still Be Free
Horace Andy - Thank You Lord.mp3,Horace Andy,Thank You Lord,True,exact,100.0,TRAAIAN12903CFF16D,Horace Andy,Thank You Lord
Tyrone Davis - Cheatin' In the Next Room.mp3,Tyrone Davis,Cheatin' In the Next Room,True,exact,100.0,TRAAIBB12903CECB35,Tyrone Davis,Cheatin' In The Next Room
Martina McBride - I Can't Stop Loving You.mp3,Martina McBride,I Can't Stop Loving You,True,exact,100.0,TRAAIAE128F42AC53D,Martina McBride,I Can't Stop Loving You
MIRA - Openbare Weg.mp3,MIRA,Openbare Weg,True,exact,100.0,TRAAHMO128F92DE7C9,Mira,Openbare Weg
Solistiyhtye Suomi - Teräslintu.mp3,Solistiyhtye Suomi,Teräslintu,True,exact,100.0,TRAAHEH128F427FCEF,Solistiyhtye Suomi,Teräslintu
Organized Konfusion - Hate.mp3,Organized Konfusion,Hate,True,exact,100.0,TRAAHZP12903CA25F4,Organized Konfusion,Hate
The Brooklyn Tabernacle Choir - Lead Me Lord.mp3,The Brooklyn Tabernacle Choir,Lead Me Lord,True,exact,100.0,TRAAHRF128F92FE234,The Brooklyn Tabernacle Choir,Lead Me Lord
Nadine Renee - Next Time.mp3,Nadine Renee,Next Time,True,exact,100.0,TRAAGHM128EF35CF8E,Nadine Renee,Next Time
Howard Armstrong - My Four Reasons.mp3,Howard Armstrong,My Four Reasons,True,exact,100.0,TRAAIIE128F4288BB1,Howard Armstrong,My Four Reasons
Boyz II Men - On Bended Knee.mp3,Boyz II Men,On Bended Knee,True,exact,100.0,TRAAIHL128F92E6DDA,Boyz II Men,On Bended Knee
The Roches - Christlike Roche.mp3,The Roches,Christlike Roche,True,exact,100.0,TRAAJAC128F148B530,The Roches,Christlike Roche
Maurice Chevalier - Ma Louise.mp3,Maurice Chevalier,Ma Louise,True,exact,100.0,TRAAHXN128F9326097,Maurice Chevalier,Ma Louise
Richard Burton - I see the boys of summer.mp3,Richard Burton,I see the boys of summer,True,exact,100.0,TRAAIFG12903CB0BCB,Richard Burton,I See The Boys Of Summer
Thomas Battenstein - Sympathy.mp3,Thomas Battenstein,Sympathy,True,exact,100.0,TRAAJBU12903CE2831,Thomas Battenstein,Sympathy
Bob Neuwirth - Biding Her Time.mp3,Bob Neuwirth,Biding Her Time,True,exact,100.0,TRAAJJV128F42A2F99,Bob Neuwirth,Biding Her Time
Tony Joe White - I Want Love (Tween You & Me).mp3,Tony Joe White,I Want Love (Tween You & Me),False,,0.0,,,
Xmilk - Sense And Trick.mp3,Xmilk,Sense And Trick,True,exact,100.0,TRAAKVA128F934E69E,Xmilk,Sense And Trick
Miguel Gallardo - Eternamente Ámame.mp3,Miguel Gallardo,Eternamente Ámame,False,,0.0,,,
Wolfmother - White Feather.mp3,Wolfmother,White Feather,True,exact,100.0,TRAAIYR12903CD290D,Wolfmother,White Feather
Citizen Kaned - President Johnson.mp3,Citizen Kaned,President Johnson,True,exact,100.0,TRAAHPZ12903CB4643,Citizen Kaned,President Johnson
James Hunter - Cowboy Ways.mp3,James Hunter,Cowboy Ways,True,exact,100.0,TRAAJNM12903CF4750,James Hunter,Cowboy Ways
Brazilian Tropical Orchestra - One Less Bell to Answer.mp3,Brazilian Tropical Orchestra,One Less Bell to Answer,True,exact,100.0,TRAAKQS128F4224DE1,Brazilian Tropical Orchestra,One Less Bell To Answer
Bob Margolin - You Rascal You.mp3,Bob Margolin,You Rascal You,True,exact,100.0,TRAAJBU128F9326C02,Bob Margolin,You Rascal You
Maxi Priest - Groovin' In The Midnight.mp3,Maxi Priest,Groovin' In The Midnight,True,exact,100.0,TRAAJYX128F4255568,Maxi Priest,Groovin' In The Midnight
Porcupine Tree - Waiting Phase One.mp3,Porcupine Tree,Waiting Phase One,False,,0.0,,,
Traditionnel - Kolomeyke.mp3,Traditionnel,Kolomeyke,False,,0.0,,,
The Avengers - Juoksuhauta-twist (Elämä juoksuhaudoissa).mp3,The Avengers,Juoksuhauta-twist (Elämä juoksuhaudoissa),True,exact,100.0,TRAAKJJ128F4228346,The Avengers,Juoksuhauta-twist (Elämä juoksuhaudoissa)
Nelson Ned - Brasas Vivas.mp3,Nelson Ned,Brasas Vivas,True,exact,100.0,TRAAJSX128F4275A1D,Nelson Ned,Brasas Vivas
Les Ogres de Barback - Niev nietch nievitch (Instrumental).mp3,Les Ogres de Barback,Niev nietch nievitch (Instrumental),True,fuzzy_combined,86.31578947368422,TRAAINT128F933BBE0,Les Ogres De Barback,Niev nietch nievitch
Hot Tuna - Candy Man.mp3,Hot Tuna,Candy Man,True,exact,100.0,TRAAIDY128F92CA454,Hot Tuna,Candy Man
Britt Nicole - Hanging On (Medium Key Performance Track Without Background Vocals).mp3,Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals),True,exact,100.0,TRAAKVZ12903D074BB,Britt Nicole,Hanging On (Medium Key Performance Track Without Background Vocals)
Dharma Bums - Simon's Folly.mp3,Dharma Bums,Simon's Folly,True,exact,100.0,TRAAJEK12903CE351A,Dharma Bums,Simon's Folly
Sven Tasnadi - 2190 Dias Contigo.mp3,Sven Tasnadi,2190 Dias Contigo,True,exact,100.0,TRAALEO128F42A7AEA,Sven Tasnadi,2190 Dias Contigo
Shakira - Hips Don't Lie (feat. Wyclef Jean).mp3,Shakira,Hips Don't Lie (feat. Wyclef Jean),False,,0.0,,,
The Rance Allen Group - Heaven Is Where The Heart Is.mp3,The Rance Allen Group,Heaven Is Where The Heart Is,True,fuzzy_combined,95.83333333333334,TRAALZN128F932D457,Rance Allen Group,Heaven is Where The Heart Is
Enthroned - The Vitalized Shell.mp3,Enthroned,The Vitalized Shell,True,exact,100.0,TRAALNG12903D014E9,Enthroned,The Vitalized Shell
Dolly Parton - Letter to Heaven.mp3,Dolly Parton,Letter to Heaven,True,exact,100.0,TRAALZC128F92E11A6,Dolly Parton,Letter To Heaven
Toni Braxton - Christmas In Jamaica (feat. Shaggy).mp3,Toni Braxton,Christmas In Jamaica (feat. Shaggy),False,,0.0,,,
Chantal Kreviazuk - In This Life.mp3,Chantal Kreviazuk,In This Life,False,,0.0,,,
Suzanne Ciani - Mozart.mp3,Suzanne Ciani,Mozart,True,exact,100.0,TRAALRZ128F429024E,Suzanne Ciani,Mozart
Gil Semedo - Festa.mp3,Gil Semedo,Festa,True,exact,100.0,TRAAKSB128F934D73A,Gil Semedo,Festa
Foo Fighters - Hell.mp3,Foo Fighters,Hell,True,exact,100.0,TRAAKDF128F92FA302,Foo Fighters,Hell
Rory Block - Three Is a Crowd.mp3,Rory Block,Three Is a Crowd,True,exact,100.0,TRAAIGD12903CA2F3C,Rory Block,Three Is a Crowd
Perrey And Kingsley - Gossippo Perpetuo.mp3,Perrey And Kingsley,Gossippo Perpetuo,True,exact,100.0,TRAALDU128F930D56B,Perrey And Kingsley,Gossippo Perpetuo
DJ Quik - Born and Raised In Compton.mp3,DJ Quik,Born and Raised In Compton,True,exact,100.0,TRAAMJY128F92F5919,DJ Quik,Born and Raised In Compton
Milan Band - Ciao Milan.mp3,Milan Band,Ciao Milan,True,exact,100.0,TRAALSV128F4282B9B,Milan Band,Ciao Milan
Zurdo ZMZ - Amalgama.mp3,Zurdo ZMZ,Amalgama,False,,0.0,,,
Eddie Money - No Control.mp3,Eddie Money,No Control,False,,0.0,,,
Descendents - Orgofart.mp3,Descendents,Orgofart,True,exact,100.0,TRAAMPA128F92E7D0D,Descendents,Orgofart
Gary Hobbs - The Look Of Love.mp3,Gary Hobbs,The Look Of Love,True,exact,100.0,TRAAMZR128F9315DCC,Gary Hobbs,The Look Of Love
Diesel Boy - Cooler Than You.mp3,Diesel Boy,Cooler Than You,True,exact,100.0,TRAANBH128F9345A6C,Diesel Boy,Cooler Than You
L.A. Guns - Bitch Is Back.mp3,L.A. Guns,Bitch Is Back,True,exact,100.0,TRAAMSO128EF348DCC,L.A. Guns,Bitch Is Back
Angelo Badalamenti - Taryn's Deepest Fear (2015 Remaster).mp3,Angelo Badalamenti,Taryn's Deepest Fear (2015 Remaster),False,,0.0,,,
Susana Seivane - Para Milladoiro.mp3,Susana Seivane,Para Milladoiro,True,exact,100.0,TRAAODT12903D0D16E,Susana Seivane,Para Milladoiro
Bare JR. - Naked Albino.mp3,Bare JR.,Naked Albino,True,exact,100.0,TRAAMXP128F4264F6A,Bare Jr.,Naked Albino
Patsy Cline - Crazy (Single Version).mp3,Patsy Cline,Crazy (Single Version),False,,0.0,,,
Hank Locklin - We're Gonna Go Fishin'.mp3,Hank Locklin,We're Gonna Go Fishin',True,exact,100.0,TRAAMKI128F428537A,Hank Locklin,We're Gonna Go Fishin'
Mance Lipscomb - Going Down Slow.mp3,Mance Lipscomb,Going Down Slow,True,exact,100.0,TRAAOTD128F42322FC,Mance Lipscomb,Going Down Slow
Nine Inch Nails - The Frail.mp3,Nine Inch Nails,The Frail,True,exact,100.0,TRAANTZ128E0792529,Nine Inch Nails,The Frail
Test Icicles - Snowball.mp3,Test Icicles,Snowball,True,exact,100.0,TRAAOIN128F9303790,Test Icicles,Snowball
Scott Wesley Brown - All Rise.mp3,Scott Wesley Brown,All Rise,True,exact,100.0,TRAAOTT128F14AE002,Scott Wesley Brown,All Rise
Flávio José - Jogo Limpo.mp3,Flávio José,Jogo Limpo,True,exact,100.0,TRAAOTT128F9342E04,Flávio José,Jogo Limpo
Ladybug - Snapshot (Robin M. Instrumental).mp3,Ladybug,Snapshot (Robin M. Instrumental),False,,0.0,,,
Norrie Paramor - Dearly Beloved.mp3,Norrie Paramor,Dearly Beloved,True,exact,100.0,TRAAMZB12903CAB002,Norrie Paramor,Dearly Beloved
Pearl Jam - Inside Job (Live).mp3,Pearl Jam,Inside Job (Live),True,fuzzy_combined,88.88888888888889,TRAAMES128F42AF068,Pearl Jam,Inside Job
Jim Chappell - Still.mp3,Jim Chappell,Still,True,exact,100.0,TRAANLZ128F934EC42,Jim Chappell,Still
"Sex Pistols - God Save The Queen (Live From Finsbury Park,London,United Kingdom_1996).mp3",Sex Pistols,"God Save The Queen (Live From Finsbury Park,London,United Kingdom/1996)",False,,0.0,,,
Cradle Of Filth - Summer Dying Fast (Live).mp3,Cradle Of Filth,Summer Dying Fast (Live),True,fuzzy_combined,92.95774647887323,TRAANLO128F422AE37,Cradle Of Filth,Summer Dying Fast
