track_id,title,artist,genre
TRAAAAW128F429D538,I Didn't Mean To,Casual,"hip hop, underground rap, g funk, alternative rap, gothic rock"
TRAAABD128F429CF47,Soul Deep,The Box Tops,"blue-eyed soul, pop rock, blues-rock, beach music, soft rock"
TRAAADZ128F9348C2E,Amor De Cabaret,Sonora Santanera,"salsa, cumbia, tejano, ranchera, latin pop"
TRAAAEF128F4273421,Something Girls,Adam Ant,"pop rock, new wave, dance rock, rock, new romantic"
TRAAAFD128F92F423A,Face the Ashes,Gob,"pop punk, ska punk, breakcore, alternative metal, punk pop"
TRAAAMO128F1481E7F,The Moon And I (Ordinary Day Album Version),Jeff And Sheri Easter,"southern gospel, bluegrass, gospel, ballad, california"
TRAAAMQ128F1460CD3,Keepin It Real (Skit),Rated R,"breakbeat, dirty south rap, hip hop, electronic, trance"
TRAAAPK128E0786D96,Drop of Rain,Tweeterfriendly Music,"post-hardcore, screamo, emo, hardcore, punk revival"
TRAAARJ128F9320760,Pink World,Planet P Project,"new wave, progressive rock, space rock, eurodance, hard rock"
TRAAAVG12903CFA543,Insatiable (Instrumental Version),Clp,"breakcore, miami bass, new rave, grime, breakbeat"
TRAAAVO128F93133D4,Young Boy Blues,JennyAnyKind,"alternative rock, indie rock, rock, alternative pop rock, alternative"
TRAABCL128F4286650,The Urgency (LP Version),Wayne Watson,"ccm, religious music, los angeles, christian rock, pop"
TRAABDL12903CAABBA,La Culpa,Andy Andy,"bachata, merengue, reggaeton, latin pop, spanish"
TRAABJL12903CDCF1A,Auguri Cha Cha,Bob Azzam,"chanson, latin jazz, soul jazz, soft rock, jazz funk"
TRAABJV128F1460C49,Tonight Will Be Alright,Lionel Richie,"quiet storm, soft rock, pop, urban, adult contemporary"
TRAABLR128F423B7E3,Floating,Blue Rodeo,"country rock, heartland rock, pop rock, folk rock, psychedelic rock"
TRAABNV128F425CEE1,High Tide,Richard Souther,"chill-out, smooth jazz, orchestra, jazz, celtic"
TRAABRB128F9306DD5,Sohna Nee Sohna Data,Faiz Ali Faiz,"qawwali, meditation, world music, world fusion, ethnic"
TRAABVM128F92CA9DC,Caught In A Dream,Tesla,"hard rock, heavy metal, blues-rock, classic rock, garage rock"
TRAABXG128F9318EBD,Synthetic Dream,lextrical,"indietronica, lo-fi, experimental, instrumental"
TRAABYN12903CFD305,Broken-Down Merry-Go-Round,Jimmy Wakely,"classic country, western swing, blues-rock, country music, blues"
TRAABYW128F4244559,Kassie Jones,Alice Stuart,"electric blues, blues, country blues, blues-rock, folk rock"
TRAACCG128F92E8A55,Setanta matins,Elena,"uk garage, pop folk, jazz fusion, chalga, jazz"
TRAACER128F4290F96,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,"math-core, grindcore, hardcore punk, tech metal, punk metal"
TRAACFV128F935E50B,James (Hold The Ladder Steady),SUE THOMPSON,"pop rock, soft rock, blues-rock, doo-wop, chanson"
TRAACHN128F1489601,Made Like This (Live),Five Bolt Main,"post-grunge, alternative metal, nu metal, hard rock, alternative rock"
TRAACIW12903CC0F6D,Superconfidential,Clp,"breakcore, miami bass, new rave, grime, breakbeat"
TRAACLV128F427E123,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,"filk, comedy, spoken word, country, funny"
TRAACNS128F14A2DF5,Spanish Grease,Willie Bobo,"latin jazz, jazz funk, boogaloo, soul jazz, salsa"
TRAACOW128F933E35F,Crazy Mixed Up World,Faye Adams,"jump blues, east coast blues, piano blues, blues, r&b"
TRAACPE128F421C1B9,Do You Finally Need A Friend,Terry Callier,"soul jazz, future jazz, smooth jazz, acid jazz, jazz funk"
TRAACQT128F9331780,The Emperor Falls,John Wesley,"disco, calypso, reggae, hard trance, dub"
TRAACSL128F93462F4,Twist and Shout,The Shangri-Las,"doo-wop, ballad, pop rock, rock steady, soft rock"
TRAACTB12903CAAF15,It Makes No Difference Now,Billie Jo Spears,"classic country, motown, oldies, rockabilly, traditional country"
TRAACVS128E078BE39,Laws Patrolling (Album Version),Mike Jones (Featuring CJ_ Mello & Lil' Bran),"rap, hip hop, classic, hardcore rap, southern rap"
TRAACZK128F4243829,¿Dónde va Chichi?,Sierra Maestra,"charanga, salsa, latin jazz, rumba, bolero"
TRAADDS128F425C68B,"Barking Dogs (From ""Piouhgd"")",Butthole Surfers,"noise rock, experimental, punk, psychedelic, college rock"
TRAADED128F42741FD,OUTE ENA EFHARISTO,Despina Vandi,"dance pop, british pop, modern laika, eurodance, club"
TRAADEV128F9348C0A,Midnight Swim,Javier Navarrete,"orchestra, chill-out, soundtrack, modern classical, classical"
TRAADHS12903CE70A9,In A Subtle Way,Jacob Young,"cool jazz, free jazz, soul jazz, country rock, jazz"
TRAADIV12903CB15C1,Spin,Scarlet's Remains,"gothic metal, deathrock, horror punk, neofolk, gothic rock"
TRAADLH12903CA70EE,Burning In The Aftermath,The Suicide Machines,"ska punk, post-grunge, skacore, ska, skate punk"
TRAADLN128F14832E9,Angie (1993 Digital Remaster),The Rolling Stones,"blues, hard rock, rock, england, london"
TRAADLR12903CF8D7E,Sabor Guajiro,Roberto Torres,"salsa, charanga, vallenato, latin jazz, samba"
TRAADLX128F1469250,Human Cannonball,Loudon Wainwright III,"modern rock, singer-songwriter, folk, rock, vocal"
TRAADMH128F9343E59,Glory Be,R.L. Burnside,"delta blues, blues-rock, electric blues, blues, juke joint blues"
TRAADNA128F9331246,Crossfire,Stevie Ray Vaughan,"texas blues, blues, blues-rock, modern electric blues, rock"
TRAADOF12903CAA1C1,I Can't Be Satisfied,John Hammond,"blues, blues-rock, motown, chicago blues, rockabilly"
TRAADQX128F422B4CF,Nashville Parthenon,Casiotone For The Painfully Alone,"trip hop, indietronica, electro, neofolk, indie rock"
TRAADRN128F932D607,Cocain Ducks,Ec8or,"hardcore techno, digital hardcore, breakcore, industrial metal, gabba"
TRBFNEE128F425C676,Human Being,The New York Dolls,"glam rock, hard rock, protopunk, rock 'n roll, blues-rock"
