msd_track_id,msd_artist,msd_title,deezer_artist,deezer_title,filename,genre,key,mode,loudness,tempo,key_confidence,mode_confidence,has_audio
TRAAAAW128F429D538,Casual,I Didn't Mean To,Casual,I Didn't Mean To,Casual - I Didn't Mean To.mp3,"hip hop, underground rap, g funk, alternative rap, gothic rock",1,0,-11.197,92.198,0.736,0.636,True
TRAAABD128F429CF47,The Box Tops,Soul Deep,The Box Tops,Soul Deep,The Box Tops - Soul Deep.mp3,"blue-eyed soul, pop rock, blues-rock, beach music, soft rock",6,0,-9.843,121.274,0.169,0.43,True
TRAAADZ128F9348C2E,Sonora Santanera,Amor De Cabaret,La Sonora Santanera,Amor de Cabaret (with Río Roma),La Sonora Santanera - Amor de Cabaret (with Río Roma).mp3,"salsa, cumbia, tejano, ranchera, latin pop",8,1,-9.689,100.07,0.643,0.565,True
TRAAAEF128F4273421,Adam Ant,Something Girls,Adam Ant,Something Girls,Adam Ant - Something Girls.mp3,"pop rock, new wave, dance rock, rock, new romantic",0,1,-9.013,119.293,0.751,0.749,True
TRAAAFD128F92F423A,Gob,Face the Ashes,,,,"pop punk, ska punk, breakcore, alternative metal, punk pop",2,1,-4.501,129.738,0.092,0.371,False
TRAAAMO128F1481E7F,Jeff And Sheri Easter,The Moon And I (Ordinary Day Album Version),Jeff & Sheri Easter,The Moon And I (Ordinary Day Album Version),Jeff & Sheri Easter - The Moon And I (Ordinary Day Album Version).mp3,"southern gospel, bluegrass, gospel, ballad, california",5,1,-9.323,147.782,0.635,0.557,True
TRAAAMQ128F1460CD3,Rated R,Keepin It Real (Skit),Rated R,Keepin It Real (Skit),Rated R - Keepin It Real (Skit).mp3,"breakbeat, dirty south rap, hip hop, electronic, trance",1,1,-17.302,111.787,0.0,0.0,True
TRAAARJ128F9320760,Planet P Project,Pink World,Planet P Project,Pink World,Planet P Project - Pink World.mp3,"new wave, progressive rock, space rock, eurodance, hard rock",4,1,-13.496,86.643,0.717,0.652,True
TRAAAPK128E0786D96,Tweeterfriendly Music,Drop of Rain,Tweeterfriendly Music,Drop of Rain,Tweeterfriendly Music - Drop of Rain.mp3,"post-hardcore, screamo, emo, hardcore, punk revival",4,0,-11.642,101.43,0.0,0.16,True
TRAAAVO128F93133D4,JennyAnyKind,Young Boy Blues,JennyAnyKind,Young Boy Blues,JennyAnyKind - Young Boy Blues.mp3,"alternative rock, indie rock, rock, alternative pop rock, alternative",5,0,-10.021,146.765,0.354,0.485,True
TRAAAVG12903CFA543,Clp,Insatiable (Instrumental Version),,,,"breakcore, miami bass, new rave, grime, breakbeat",7,0,-6.697,114.041,0.053,0.473,False
TRAABCL128F4286650,Wayne Watson,The Urgency (LP Version),,,,"ccm, religious music, los angeles, christian rock, pop",7,1,-7.545,117.975,0.07,0.686,False
TRAABDL12903CAABBA,Andy Andy,La Culpa,FP do Trem Bala,Bota Culpa na Bebida,FP do Trem Bala - Bota Culpa na Bebida.mp3,"bachata, merengue, reggaeton, latin pop, spanish",9,1,-6.632,130.04,0.205,0.305,True
TRAABLR128F423B7E3,Blue Rodeo,Floating,Blue Rodeo,Floating (2012 Remaster),Blue Rodeo - Floating (2012 Remaster).mp3,"country rock, heartland rock, pop rock, folk rock, psychedelic rock",7,1,-8.576,119.826,1.0,0.829,True
TRAABJL12903CDCF1A,Bob Azzam,Auguri Cha Cha,Bob Azzam,Auguri Cha Cha,Bob Azzam - Auguri Cha Cha.mp3,"chanson, latin jazz, soul jazz, soft rock, jazz funk",10,0,-7.75,137.334,0.0,0.198,True
TRAABJV128F1460C49,Lionel Richie,Tonight Will Be Alright,Lionel Richie,Tonight Will Be Alright,Lionel Richie - Tonight Will Be Alright.mp3,"quiet storm, soft rock, pop, urban, adult contemporary",3,1,-8.346,125.197,0.524,0.533,True
TRAABNV128F425CEE1,Richard Souther,High Tide,Richard Souther,High Tide,Richard Souther - High Tide.mp3,"chill-out, smooth jazz, orchestra, jazz, celtic",8,1,-16.11,127.756,0.041,0.516,True
TRAABVM128F92CA9DC,Tesla,Caught In A Dream,Tesla,Caught In a Dream,Tesla - Caught In a Dream.mp3,"hard rock, heavy metal, blues-rock, classic rock, garage rock",7,1,-5.271,150.062,0.725,0.756,True
TRAABRB128F9306DD5,Faiz Ali Faiz,Sohna Nee Sohna Data,,,,"qawwali, meditation, world music, world fusion, ethnic",6,1,-8.032,99.273,0.06,0.346,False
TRAABXG128F9318EBD,lextrical,Synthetic Dream,,,,"indietronica, lo-fi, experimental, instrumental",7,1,-6.787,138.331,0.011,0.568,False
TRAACER128F4290F96,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,The Dillinger Escape Plan,Setting Fire to Sleeping Giants,The Dillinger Escape Plan - Setting Fire to Sleeping Giants.mp3,"math-core, grindcore, hardcore punk, tech metal, punk metal",7,1,-4.264,166.862,0.381,0.453,True
TRAACCG128F92E8A55,Elena,Setanta matins,Élena,Setanta matins,Élena - Setanta matins.mp3,"uk garage, pop folk, jazz fusion, chalga, jazz",2,1,-8.05,111.874,0.596,0.666,True
TRAABYN12903CFD305,Jimmy Wakely,Broken-Down Merry-Go-Round,Jimmy Wakely,Broken Down Merry-Go-Round,Jimmy Wakely - Broken Down Merry-Go-Round.mp3,"classic country, western swing, blues-rock, country music, blues",1,1,-15.221,86.186,0.799,0.716,True
TRAACFV128F935E50B,SUE THOMPSON,James (Hold The Ladder Steady),Sue Thompson,James (Hold the Ladder Steady),Sue Thompson - James (Hold the Ladder Steady).mp3,"pop rock, soft rock, blues-rock, doo-wop, chanson",10,1,-12.332,137.522,0.697,0.541,True
TRAABYW128F4244559,Alice Stuart,Kassie Jones,Alice Stuart,Kassie Jones,Alice Stuart - Kassie Jones.mp3,"electric blues, blues, country blues, blues-rock, folk rock",11,1,-8.514,110.382,0.809,0.521,True
TRAACHN128F1489601,Five Bolt Main,Made Like This (Live),,,,"post-grunge, alternative metal, nu metal, hard rock, alternative rock",7,1,-5.908,164.672,0.53,0.512,False
TRAACIW12903CC0F6D,Clp,Superconfidential,CLP,Superconfidential,CLP - Superconfidential.mp3,"breakcore, miami bass, new rave, grime, breakbeat",6,0,-6.486,125.006,0.687,0.486,True
TRAACLV128F427E123,Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson - I Think My Wife Is Running Around On Me (Taco Hell).mp3,"filk, comedy, spoken word, country, funny",5,1,-4.516,90.022,0.762,0.539,True
TRAACQT128F9331780,John Wesley,The Emperor Falls,John Wesley,Gift of a Woman,John Wesley - Gift of a Woman.mp3,"disco, calypso, reggae, hard trance, dub",4,0,-15.335,138.007,0.283,0.363,True
TRAACPE128F421C1B9,Terry Callier,Do You Finally Need A Friend,Terry Callier,Do You Finally Need A Friend,Terry Callier - Do You Finally Need A Friend.mp3,"soul jazz, future jazz, smooth jazz, acid jazz, jazz funk",6,1,-11.939,110.189,0.381,0.538,True
TRAACOW128F933E35F,Faye Adams,Crazy Mixed Up World,Faye Adams,Crazy Mixed Up World,Faye Adams - Crazy Mixed Up World.mp3,"jump blues, east coast blues, piano blues, blues, r&b",8,1,-18.051,95.957,0.569,0.495,True
TRAACNS128F14A2DF5,Willie Bobo,Spanish Grease,Willie Bobo,Spanish Grease,Willie Bobo - Spanish Grease.mp3,"latin jazz, jazz funk, boogaloo, soul jazz, salsa",8,1,-9.616,127.025,0.812,0.736,True
TRAACSL128F93462F4,The Shangri-Las,Twist and Shout,The Shangri-Las,Twist And Shout,The Shangri-Las - Twist And Shout.mp3,"doo-wop, ballad, pop rock, rock steady, soft rock",10,1,-10.922,130.1,0.254,0.042,True
TRAACTB12903CAAF15,Billie Jo Spears,It Makes No Difference Now,Billie Jo Spears,It Makes the Difference Now,Billie Jo Spears - It Makes the Difference Now.mp3,"classic country, motown, oldies, rockabilly, traditional country",4,1,-9.983,160.839,0.384,0.402,True
TRAACVS128E078BE39,Mike Jones (Featuring CJ_ Mello & Lil' Bran),Laws Patrolling (Album Version),,,,"rap, hip hop, classic, hardcore rap, southern rap",7,1,-7.762,41.993,0.299,0.464,False
TRAADHS12903CE70A9,Jacob Young,In A Subtle Way,Jacob Young,In a Subtle Way,Jacob Young - In a Subtle Way.mp3,"cool jazz, free jazz, soul jazz, country rock, jazz",1,1,-19.478,89.667,0.611,0.546,True
TRAADDS128F425C68B,Butthole Surfers,"Barking Dogs (From ""Piouhgd"")",,,,"noise rock, experimental, punk, psychedelic, college rock",4,0,-9.063,130.586,0.726,0.367,False
TRAADIV12903CB15C1,Scarlet's Remains,Spin,Scarlet's Remains,Spin,Scarlet's Remains - Spin.mp3,"gothic metal, deathrock, horror punk, neofolk, gothic rock",7,1,-7.469,115.061,0.673,0.579,True
TRAADEV128F9348C0A,Javier Navarrete,Midnight Swim,,,,"orchestra, chill-out, soundtrack, modern classical, classical",3,1,-17.699,90.932,0.0,0.251,False
TRAADED128F42741FD,Despina Vandi,OUTE ENA EFHARISTO,Despina Vandi,Oute Ena Efharisto,Despina Vandi - Oute Ena Efharisto.mp3,"dance pop, british pop, modern laika, eurodance, club",8,0,-8.879,128.292,0.532,0.516,True
TRAACZK128F4243829,Sierra Maestra,¿Dónde va Chichi?,Sierra Maestra,Dónde Va Chichi?,Sierra Maestra - Dónde Va Chichi_.mp3,"charanga, salsa, latin jazz, rumba, bolero",9,1,-9.512,189.646,0.724,0.364,True
TRAADLH12903CA70EE,The Suicide Machines,Burning In The Aftermath,The Suicide Machines,Burning In The Aftermath,The Suicide Machines - Burning In The Aftermath.mp3,"ska punk, post-grunge, skacore, ska, skate punk",2,1,-2.022,115.887,0.421,0.589,True
TRAADLN128F14832E9,The Rolling Stones,Angie (1993 Digital Remaster),,,,"blues, hard rock, rock, england, london",9,0,-10.358,139.333,0.301,0.392,False
TRAADOF12903CAA1C1,John Hammond,I Can't Be Satisfied,John Hammond,I Can't Be Satisfied,John Hammond - I Can't Be Satisfied.mp3,"blues, blues-rock, motown, chicago blues, rockabilly",7,1,-10.7,123.142,0.98,0.753,True
TRAADNA128F9331246,Stevie Ray Vaughan,Crossfire,Stevie Ray Vaughan & Double Trouble,Crossfire,Stevie Ray Vaughan & Double Trouble - Crossfire.mp3,"texas blues, blues, blues-rock, modern electric blues, rock",1,1,-7.805,116.721,0.754,0.597,True
TRAADLR12903CF8D7E,Roberto Torres,Sabor Guajiro,Roberto Torres,Sabor Guajiro,Roberto Torres - Sabor Guajiro.mp3,"salsa, charanga, vallenato, latin jazz, samba",0,1,-12.716,117.271,0.863,0.671,True
TRAADLX128F1469250,Loudon Wainwright III,Human Cannonball,Loudon Wainwright III,Human Cannonball,Loudon Wainwright III - Human Cannonball.mp3,"modern rock, singer-songwriter, folk, rock, vocal",3,1,-15.663,102.428,0.544,0.596,True
TRAADMH128F9343E59,R.L. Burnside,Glory Be,R.L. Burnside,Glory Be,R.L. Burnside - Glory Be.mp3,"delta blues, blues-rock, electric blues, blues, juke joint blues",2,1,-6.944,89.984,0.0,0.0,True
TRAADQX128F422B4CF,Casiotone For The Painfully Alone,Nashville Parthenon,Casiotone for the Painfully Alone,Nashville Parthenon,Casiotone for the Painfully Alone - Nashville Parthenon.mp3,"trip hop, indietronica, electro, neofolk, indie rock",0,1,-10.93,141.919,0.522,0.474,True
TRAADRN128F932D607,Ec8or,Cocain Ducks,Ec8or,Cocain Ducks,Ec8or - Cocain Ducks.mp3,"hardcore techno, digital hardcore, breakcore, industrial metal, gabba",10,0,-9.493,95.596,0.005,0.305,True
TRAAEAM128F934B199,The Germs,Forming,The Germs,Forming,The Germs - Forming.mp3,"rock, punk, los angeles, grunge, southern rock",11,0,-11.506,133.144,0.641,0.597,True
