"msd_track_id","filename","audio_basename","deezer_artist","deezer_title","genre","primary_genre","genre_count"
"TRAAVRJ128F92FF90A","!!! - Myth Takes.wav","!!! - Myth Takes","!!!","Myth Takes","dance-punk, new rave, dance rock, indietronica, post rock","dance-punk","5"
"TRADXCO128F426B26D","-M- - Close to Me.wav","-M- - Close to Me","-M-","Close to Me","hard trance, happy hardcore, trance, techno, progressive trance","hard trance","5"
"","12Vince - Outrotune.wav","12Vince - Outrotune","12Vince","Outrotune","hip hop","hip hop","1"
"","13th Ward Social Club - Melody Nelson (Instrumental).wav","13th Ward Social Club - Melody Nelson (Instrumental)","13th Ward Social Club","Melody Nelson (Instrumental)","brill building pop","brill building pop","1"
"TRANPLE128F9322D6F","2 Minutos - 1987.wav","2 Minutos - 1987","2 Minutos","1987","skate punk, straight edge, pop punk, ska punk, oi","skate punk","5"
"TRASMER128F4272C1D","2 Minutos - 2 Minutos.wav","2 Minutos - 2 Minutos","2 Minutos","2 Minutos","skate punk, straight edge, pop punk, ska punk, oi","skate punk","5"
"TRAQRFD128F9322DE6","2 Minutos - Canción de Amor.wav","2 Minutos - Canción de Amor","2 Minutos","Canción De Amor","skate punk, straight edge, pop punk, ska punk, oi","skate punk","5"
"TRALUTY128F9322DC0","2 Minutos - Como Caramelo De Limón.wav","2 Minutos - Como Caramelo De Limón","2 Minutos","Como Caramelo De Limón","skate punk, straight edge, pop punk, ska punk, oi","skate punk","5"
"TRAGETA128F4272C38","2 Minutos - Rompan Todo.wav","2 Minutos - Rompan Todo","2 Minutos","Rompan Todo","skate punk, straight edge, pop punk, ska punk, oi","skate punk","5"
"TRAWYCO128F9322CE1","2 Minutos - Tema De Adrian.wav","2 Minutos - Tema De Adrian","2 Minutos","Tema de Adrián","skate punk, straight edge, pop punk, ska punk, oi","skate punk","5"
"TRAVOLQ128F9322DB4","2 Minutos - Valentin Alsina.wav","2 Minutos - Valentin Alsina","2 Minutos","Valentin Alsina","skate punk, straight edge, pop punk, ska punk, oi","skate punk","5"
"TRAJMQE128F9322DDD","2 Minutos - Vos No Confiaste.wav","2 Minutos - Vos No Confiaste","2 Minutos","Vos No Confiaste","skate punk, straight edge, pop punk, ska punk, oi","skate punk","5"
"TRASFDP12903CD475A","20_20 - So Many Reasons.wav","20_20 - So Many Reasons","20/20","So Many Reasons","power pop, pop rock, new wave, rock, hip hop","power pop","5"
"TRAFZTM12903CB1F7B","2Fresh - Get It Started.wav","2Fresh - Get It Started","2Fresh","Get It Started","boogaloo, funk, electro, dj, hip hop","boogaloo","5"
"TRACAQW128F428E2B7","2raumwohnung - Ja (Hanno's Poppersmonstermix).wav","2raumwohnung - Ja (Hanno's Poppersmonstermix)","2raumwohnung","Ja (Hanno's Poppersmonstermix)","tech house, indie pop, electro, progressive house, dub","tech house","5"
"TRALPQV128F424F989","2raumwohnung - Lachen und weinen.wav","2raumwohnung - Lachen und weinen","2raumwohnung","Lachen und weinen","tech house, indie pop, electro, progressive house, dub","tech house","5"
"TRAXJHG128F427EA02","3 Doors Down - Be Like That.wav","3 Doors Down - Be Like That","3 Doors Down","Be Like That","post-grunge, alternative metal, heavy metal, rock, alternative","post-grunge","5"
"TRASZUN128F148B165","3 Doors Down - Duck And Run.wav","3 Doors Down - Duck And Run","3 Doors Down","Duck And Run","post-grunge, alternative metal, heavy metal, rock, alternative","post-grunge","5"
"TRACBWP128C7196948","3 Doors Down - It's Not Me.wav","3 Doors Down - It's Not Me","3 Doors Down","It's Not Me","post-grunge, alternative metal, heavy metal, rock, alternative","post-grunge","5"
"TRACUEE128F427EA05","3 Doors Down - Sarah Yellin'.wav","3 Doors Down - Sarah Yellin'","3 Doors Down","Sarah Yellin'","post-grunge, alternative metal, heavy metal, rock, alternative","post-grunge","5"
"TRAVPHL128F424EAE1","3 Doors Down - Who Are You (Album Version).wav","3 Doors Down - Who Are You (Album Version)","3 Doors Down","Who Are You (Album Version)","post-grunge, alternative metal, heavy metal, rock, alternative","post-grunge","5"
"TRAHRGA12903CBB8AA","3 Steps Ahead - My Mind Is Gone (Interlude).wav","3 Steps Ahead - My Mind Is Gone (Interlude)","3 Steps Ahead","My Mind Is Gone (Interlude)","gabba, happy hardcore, hard trance, jazz funk, soul jazz","gabba","5"
"TRALMDB12903CCE912","3 Way Funk - Real Playaz.wav","3 Way Funk - Real Playaz","3 Way Funk","Real Playaz","hyphy, hip hop, gangster rap, west coast rap, rap","hyphy","5"
