min_cluster_size,min_samples,cluster_selection_method,cluster_count,clustered_fraction,noise_fraction,silhouette_score
81,27,leaf,8,0.3957974932415827,0.6042025067584174,0.5619160532951355
81,27,eom,7,0.46153846153846156,0.5384615384615384,0.5318549275398254
45,15,leaf,13,0.2680019660850332,0.7319980339149668,0.5239886045455933
81,16,leaf,7,0.4294666994347506,0.5705333005652494,0.512536346912384
45,10,leaf,15,0.278323912509216,0.7216760874907839,0.5123708844184875
40,13,leaf,15,0.29761612189727205,0.702383878102728,0.5060461759567261
35,11,leaf,17,0.26062914721061686,0.7393708527893832,0.5011173486709595
15,10,leaf,40,0.20312115999016958,0.7968788400098304,0.4980347752571106
35,10,leaf,18,0.21860407962644385,0.7813959203735561,0.49731701612472534
30,10,leaf,20,0.22278201032194642,0.7772179896780536,0.49029800295829773
40,10,leaf,17,0.2761120668468911,0.723887933153109,0.4896778464317322
45,9,leaf,15,0.3009338903907594,0.6990661096092405,0.48771893978118896
25,10,leaf,21,0.22585401818628656,0.7741459818137134,0.48581376671791077
81,16,eom,6,0.5044236913246498,0.4955763086753502,0.4856383502483368
10,10,leaf,63,0.2012779552715655,0.7987220447284344,0.478816956281662
45,15,eom,9,0.4944703858441878,0.5055296141558122,0.4692379832267761
20,10,leaf,27,0.2273285819611698,0.7726714180388302,0.46844297647476196
40,13,eom,10,0.4977881543376751,0.5022118456623249,0.4673394560813904
81,10,leaf,10,0.3401327107397395,0.6598672892602605,0.46263906359672546
81,10,eom,9,0.45269107888916194,0.5473089211108381,0.4581286311149597
15,7,leaf,56,0.2360530842958958,0.7639469157041042,0.45811256766319275
25,8,leaf,27,0.24158269845170804,0.758417301548292,0.4580352008342743
35,11,eom,10,0.49852543622511675,0.5014745637748832,0.45683741569519043
45,10,eom,10,0.4057507987220447,0.5942492012779552,0.45131221413612366
20,6,leaf,43,0.2597689850086016,0.7402310149913984,0.45022067427635193
81,7,eom,10,0.3428360776603588,0.6571639223396413,0.44737762212753296
81,7,leaf,11,0.3081838289506021,0.691816171049398,0.44701194763183594
20,7,leaf,38,0.2457606291472106,0.7542393708527894,0.4454491436481476
10,7,leaf,83,0.24809535512410913,0.7519046448758908,0.44331252574920654
30,6,leaf,33,0.2779552715654952,0.7220447284345048,0.4419967234134674
45,9,eom,14,0.34185303514376997,0.65814696485623,0.4415515661239624
25,7,leaf,31,0.2504300811010076,0.7495699188989924,0.4375420808792114
45,7,leaf,18,0.3052347014008356,0.6947652985991644,0.4363183081150055
35,10,eom,10,0.5234701400835586,0.47652985991644137,0.4358985722064972
40,10,eom,11,0.41091177193413614,0.5890882280658638,0.43358680605888367
30,10,eom,11,0.5276480707790612,0.4723519292209388,0.4329885244369507
25,10,eom,12,0.5307200786434013,0.4692799213565987,0.43139076232910156
30,7,leaf,27,0.26554435979356106,0.7344556402064389,0.4309297800064087
81,5,eom,11,0.407839764069796,0.5921602359302041,0.42987632751464844
81,5,leaf,11,0.407839764069796,0.5921602359302041,0.42987632751464844
40,7,leaf,19,0.2500614401572868,0.7499385598427132,0.4268876016139984
35,7,leaf,23,0.2591545834357336,0.7408454165642664,0.4260666072368622
40,7,eom,14,0.4512165151142787,0.5487834848857214,0.42359721660614014
30,5,leaf,35,0.3076923076923077,0.6923076923076923,0.42174631357192993
45,7,eom,15,0.3472597689850086,0.6527402310149915,0.42015784978866577
40,8,leaf,18,0.287048414843942,0.7129515851560579,0.4136480689048767
35,5,leaf,31,0.3146964856230032,0.6853035143769968,0.411469429731369
35,7,eom,20,0.35303514376996803,0.646964856230032,0.40247780084609985
25,5,leaf,42,0.3181371344310641,0.6818628655689358,0.4000694453716278
30,7,eom,22,0.36065372327353157,0.6393462767264684,0.3984174430370331
