cluster_count,silhouette_score,calinski_harabasz_score,davies_bouldin_score,inertia,bic,min_cluster_size
3,0.4515295922756195,9919.99319194607,0.7744842121302181,17.66668128967285,-46611.74645333572,1998
4,0.4085378348827362,9659.3762550624,0.9198045283935102,13.267147064208984,-48691.52969239077,1674
5,0.3941640257835388,9992.167136342756,0.8326254009015972,10.20887279510498,-50583.01662592614,1403
2,0.3931325674057007,6938.660100787085,0.9790361427979636,33.208961486816406,-41866.703342520654,3624
6,0.36999768018722534,9539.893915036797,0.9036941437359558,8.78394889831543,-51610.931896264694,940
7,0.3577025830745697,9326.563969419693,0.9313556411326941,7.64381742477417,-52551.469618476796,826
8,0.35518714785575867,9433.254841342554,0.8983978051936082,6.599078178405762,-53553.377921310435,595
9,0.3514173924922943,9226.232685953259,0.875142548127434,5.968916893005371,-54195.00083865347,543
11,0.3488265872001648,9132.409093353435,0.8986010523927844,4.9122633934021,-55432.64697333724,457
10,0.34746837615966797,9185.820234513381,0.9110861296050924,5.383065700531006,-54859.37576372327,457
12,0.3406195044517517,8867.978983095187,0.9433146014765205,4.621286392211914,-55770.42011633254,395
13,0.32131490111351013,8626.469446581645,0.9742271057626671,4.372750759124756,-56063.501316027374,393
15,0.32085907459259033,8265.823080507182,0.9701089626575145,3.939483404159546,-56601.58474072062,311
14,0.3159967064857483,8439.389699701162,0.9686563755827091,4.141583442687988,-56349.108616407975,347
16,0.3086840808391571,8165.802271474817,0.9979809908701385,3.7343220710754395,-56880.769260484856,309
17,0.29492223262786865,8022.695442665267,1.0299430877754925,3.5726237297058105,-57088.69504204982,299
22,0.2947971224784851,7443.138756934653,1.0331150625108914,2.962169647216797,-57865.84197322577,223
19,0.29333606362342834,7744.95899756332,1.0421595502464107,3.3036062717437744,-57425.33107586773,296
18,0.2925081253051758,7874.033695147282,1.0442356361964968,3.433529853820801,-57261.409128783,291
32,0.29176488518714905,6572.7574021742,1.0506781647232817,2.294616937637329,-58497.05072642364,147
20,0.2908729910850525,7639.41772178387,1.0187533383104008,3.1791412830352783,-57587.934078529855,261
21,0.28969621658325195,7538.065815633425,1.0107799246464393,3.066174030303955,-57733.35126525629,280
23,0.2880925238132477,7302.975445737244,1.0226537794798582,2.885104179382324,-57935.34379685795,216
29,0.28773805499076843,6768.287644867455,1.07429111166272,2.461268424987793,-58357.907920130114,138
26,0.2830526828765869,6991.573699809037,1.0353069219135826,2.6608283519744873,-58158.078860812006,74
28,0.28279730677604675,6814.498755889181,1.0671978971437552,2.532470703125,-58271.72589979496,137
30,0.28268325328826904,6697.519778609244,1.0483673063210126,2.4034829139709473,-58407.285631535626,168
24,0.2825442850589752,7186.632418835037,1.0405690053928496,2.8075900077819824,-58011.59914676449,189
25,0.2819662392139435,7087.255081269206,1.0435891736577068,2.731435775756836,-58089.89955962061,168
27,0.2810780107975006,6912.018342748895,1.0540282467980024,2.590636730194092,-58230.46294665809,172
38,0.27990591526031494,6279.984682890092,1.0650672292268653,2.01969313621521,-58677.91408510568,68
31,0.2799046039581299,6630.321375204478,1.0523089596726223,2.348728895187378,-58451.14863435664,69
34,0.2796606421470642,6448.799259508262,1.0602625284405223,2.1998400688171387,-58554.56421159236,136
39,0.27894970774650574,6243.663702199036,1.049948080476485,1.9790338277816772,-58700.84319357718,68
41,0.2787719666957855,6113.853479821665,1.0733220000064654,1.921312928199768,-58661.09091603418,69
33,0.2787231504917145,6537.377275630387,1.0640911398548776,2.236783027648926,-58560.106858722094,69
43,0.27760255336761475,6032.277479261362,1.0581299811350025,1.8560645580291748,-58659.609880764874,69
42,0.27748924493789673,6093.281697921598,1.062080899395701,1.8817723989486694,-58687.559614378915,68
40,0.27724310755729675,6170.915639304368,1.0669878810694733,1.9516798257827759,-58674.15073742625,68
45,0.2772262692451477,5896.871878997583,1.0739455360080694,1.8131787776947021,-58571.746745913326,66
