covariance_type,weight_concentration_prior,max_components,effective_components,active_components,lower_bound,silhouette_score,soft_silhouette_score,mean_membership_confidence,reg_covar
tied,500.0,10,10,10,260068.9905582609,0.3885107934474945,0.3975799787677362,0.9709654119430635,0.00047396746277809145
tied,100.0,10,10,10,261440.07689848705,0.3885107934474945,0.39757948071117766,0.970965309231233,0.00047396746277809145
tied,1.0,10,10,10,261973.26813639482,0.3885107934474945,0.3975792520268911,0.9709652652627682,0.00047396746277809145
tied,0.01,10,10,10,261986.78499833215,0.3885107934474945,0.397579249163411,0.9709652643725827,0.00047396746277809145
full,1.0,15,15,15,296425.3799008235,0.3839322626590729,0.3969330529028169,0.9602880077581506,0.00047396746277809145
full,100.0,15,15,15,295891.9255210159,0.3839322626590729,0.39689816035287806,0.9602850400408447,0.00047396746277809145
full,500.0,15,15,15,294519.96557207895,0.3839322626590729,0.3968733900852836,0.9602734182723153,0.00047396746277809145
full,0.01,15,15,15,296438.8828509088,0.38377583026885986,0.39666136594803003,0.9602700446905493,0.00047396746277809145
diag,500.0,10,10,10,174763.5895952151,0.37539416551589966,0.3803116637190504,0.9884439047917324,0.00047396746277809145
diag,100.0,10,10,10,176134.71840630815,0.37539416551589966,0.380311172382483,0.9884441024401102,0.00047396746277809145
diag,1.0,10,10,10,176667.92183407338,0.37539416551589966,0.380310989537725,0.9884441679284031,0.00047396746277809145
diag,0.01,10,10,10,176681.438824003,0.37539416551589966,0.38031098750000353,0.9884441686341284,0.00047396746277809145
full,500.0,10,10,10,288753.2591878248,0.36712101101875305,0.3763248120682628,0.9687095210865067,0.00047396746277809145
full,100.0,10,10,10,290124.2635688096,0.36712101101875305,0.3763156540663479,0.9687173296047674,0.00047396746277809145
full,1.0,10,10,10,290657.4842946942,0.36690542101860046,0.3761875368771932,0.9687279543809294,0.00047396746277809145
full,0.01,10,10,10,290671.01218610135,0.36690542101860046,0.3761875335688006,0.9687279337219649,0.00047396746277809145
diag,0.01,15,15,15,194375.57560732492,0.3698679804801941,0.37548979409256167,0.9846994124148326,0.00047396746277809145
diag,1.0,15,15,15,194362.05640241515,0.3698679804801941,0.3754897932817226,0.9846994121772453,0.00047396746277809145
diag,100.0,15,15,15,193828.63771847103,0.3698679804801941,0.3754897223719986,0.9846993933456063,0.00047396746277809145
diag,500.0,15,15,15,192456.7443810865,0.3698679804801941,0.37548954406263474,0.9846993673831911,0.00047396746277809145
full,0.01,20,20,20,299535.5231793227,0.35420703887939453,0.36865450063576394,0.9506991637861089,0.00047396746277809145
full,500.0,20,20,20,297615.5849451212,0.3538617789745331,0.3683985949395925,0.95069120301303,0.00047396746277809145
full,1.0,20,20,20,299521.97999455023,0.3538617789745331,0.3683928882933956,0.9506958338099636,0.00047396746277809145
full,100.0,20,20,20,298988.2778579778,0.3538617789745331,0.3683920960256439,0.9506924340895442,0.00047396746277809145
full,0.01,25,25,25,302325.09753484995,0.34321197867393494,0.36079194846798845,0.9420543507533887,0.00047396746277809145
full,100.0,25,25,25,301777.88255824137,0.34314170479774475,0.3607108867614711,0.9420802831527655,0.00047396746277809145
full,1.0,25,25,25,302311.5613724971,0.34257012605667114,0.3602685439770165,0.9420485871122233,0.00047396746277809145
full,500.0,25,25,25,300404.76728334214,0.34257012605667114,0.36024501776306034,0.9420197690251276,0.00047396746277809145
tied,500.0,25,25,25,282661.54884527676,0.3426783084869385,0.35855890829901177,0.9515970807225617,0.00047396746277809145
tied,100.0,25,25,25,284034.62717556045,0.3426783084869385,0.35855791784489327,0.9515972454187737,0.00047396746277809145
tied,1.0,25,25,25,284568.4042479391,0.3426783084869385,0.35855718980008267,0.9515975004351437,0.00047396746277809145
tied,0.01,25,25,25,284581.9272626133,0.3426783084869385,0.35855717995593894,0.951597505733599,0.00047396746277809145
tied,500.0,15,15,15,272610.33326024615,0.33706042170524597,0.34843563779435804,0.9607613402684888,0.00047396746277809145
tied,100.0,15,15,15,273982.27568409656,0.33706042170524597,0.3484322628210238,0.9607695826663931,0.00047396746277809145
tied,1.0,15,15,15,274515.7280882741,0.33706042170524597,0.34843134932167863,0.9607717738221104,0.00047396746277809145
tied,0.01,15,15,15,274529.2477304685,0.33706042170524597,0.3484313171734374,0.9607718581376822,0.00047396746277809145
diag,500.0,20,20,20,201941.16108869214,0.3348061442375183,0.34146017369277554,0.9793102334096568,0.00047396746277809145
diag,100.0,20,20,20,203313.91932403203,0.3348061442375183,0.3414591870076422,0.9793104126330556,0.00047396746277809145
diag,1.0,20,20,20,203847.63496805972,0.3348061442375183,0.3414587008716193,0.9793104693581743,0.00047396746277809145
diag,0.01,20,20,20,203861.15744706968,0.3348061442375183,0.34145869497107983,0.9793104699487567,0.00047396746277809145
diag,500.0,25,25,25,208678.39258240687,0.3325634300708771,0.33796674241706237,0.9790870687596436,0.00047396746277809145
full,500.0,30,30,30,302775.5930695879,0.31740981340408325,0.3370564879057596,0.9369832399057864,0.00047396746277809145
full,100.0,30,30,30,304152.14989408583,0.31740981340408325,0.3370527020974012,0.9369801160919334,0.00047396746277809145
full,0.01,30,30,30,304701.9915219608,0.31740981340408325,0.3370494165292662,0.9369835111147208,0.00047396746277809145
full,1.0,30,30,30,304688.4126501303,0.31740981340408325,0.3370468457804514,0.9369849322745228,0.00047396746277809145
diag,0.01,25,25,25,210601.50036676723,0.3304414749145508,0.3368451331889423,0.9784789987822112,0.00047396746277809145
diag,1.0,25,25,25,210587.97510617395,0.3304414749145508,0.33684509186101724,0.9784790133261144,0.00047396746277809145
diag,100.0,25,25,25,210053.99547457133,0.3304414749145508,0.3368415417669868,0.9784806055954522,0.00047396746277809145
tied,0.01,20,20,20,280259.0765277176,0.32052159309387207,0.33264502237284554,0.9572902503754752,0.00047396746277809145
tied,1.0,20,20,20,280245.55356356216,0.32052159309387207,0.3326450200291067,0.9572902447687691,0.00047396746277809145
tied,100.0,20,20,20,279711.7976712851,0.32052159309387207,0.3326449291316824,0.9572898962321482,0.00047396746277809145
tied,500.0,20,20,20,278338.95010725665,0.32052159309387207,0.33264464373993835,0.9572893603858766,0.00047396746277809145
tied,100.0,30,30,30,287590.6224384089,0.297381192445755,0.31425194681446433,0.9404590351324187,0.00047396746277809145
tied,1.0,30,30,30,288125.3119839023,0.297381192445755,0.3142514279434921,0.9404654233368496,0.00047396746277809145
tied,0.01,30,30,30,288138.84800454933,0.297381192445755,0.31425142594994643,0.9404655462451168,0.00047396746277809145
tied,500.0,30,30,30,286215.84521265555,0.297381192445755,0.3142502150936359,0.9404515363977347,0.00047396746277809145
diag,1.0,40,40,40,225332.10486072634,0.3054537773132324,0.312721871926506,0.9744752849406597,0.00047396746277809145
diag,0.01,40,40,40,225345.63952311172,0.3054537773132324,0.3127218548432908,0.9744752455448208,0.00047396746277809145
diag,100.0,40,40,40,224797.34336511808,0.3053043782711029,0.31267630182181233,0.9744782817688453,0.00047396746277809145
diag,500.0,40,40,40,223421.62033389186,0.3053043782711029,0.31267540707106284,0.9744846639354903,0.00047396746277809145
full,100.0,40,40,40,308698.56644912984,0.2882141172885895,0.3089195507003306,0.9312280186055116,0.00047396746277809145
full,500.0,40,40,40,307323.369544316,0.2882141172885895,0.3089050761664498,0.9312256206131313,0.00047396746277809145
full,1.0,40,40,40,309233.036357549,0.2882141172885895,0.308885577520844,0.9312289852806259,0.00047396746277809145
full,0.01,40,40,40,309246.56538069295,0.2882141172885895,0.3088854723289297,0.9312289826917591,0.00047396746277809145
diag,100.0,30,30,30,216240.40461911735,0.3007611632347107,0.3077799947953745,0.9769166971705564,0.00047396746277809145
diag,1.0,30,30,30,216774.49968911897,0.3007611632347107,0.3077799301833975,0.9769170115353196,0.00047396746277809145
