file,audio_path,raw_feature_path,msd_track_id,deezer_track_id,sample_rate,duration_sec,frames,cluster_label,distance_to_centroid,is_outlier,cluster_size
-M- - Je suis une cigarette [TRBGXHS128F426B568] [deezer-66675140].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/-M- - Je suis une cigarette [TRBGXHS128F426B568] [deezer-66675140].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/-M- - Je suis une cigarette [TRBGXHS128F426B568] [deezer-66675140].npz,TRBGXHS128F426B568,66675140,22050,29.0,0,4,0.014945013,False,830
-M- - Le Bug (Live 2005) [TRBFGDX128F1452E74] [deezer-3120756].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/-M- - Le Bug (Live 2005) [TRBFGDX128F1452E74] [deezer-3120756].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/-M- - Le Bug (Live 2005) [TRBFGDX128F1452E74] [deezer-3120756].npz,TRBFGDX128F1452E74,3120756,22050,29.0,0,6,0.0058358614,False,538
089 Clique - M-Town 2 M-Town [TRASPVS128F92F6EA3] [deezer-2746077281].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/089 Clique - M-Town 2 M-Town [TRASPVS128F92F6EA3] [deezer-2746077281].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/089 Clique - M-Town 2 M-Town [TRASPVS128F92F6EA3] [deezer-2746077281].npz,TRASPVS128F92F6EA3,2746077281,22050,29.0,0,5,0.014657479,False,605
089 Clique - Visions of Death [TRASGKC128F92F6EA4] [deezer-2746077291].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/089 Clique - Visions of Death [TRASGKC128F92F6EA4] [deezer-2746077291].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/089 Clique - Visions of Death [TRASGKC128F92F6EA4] [deezer-2746077291].npz,TRASGKC128F92F6EA4,2746077291,22050,29.0,0,5,0.008929181,False,605
2 Minutos - 14 Botellas [TRBCGXG128F9322DBB] [deezer-4154705].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2 Minutos - 14 Botellas [TRBCGXG128F9322DBB] [deezer-4154705].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2 Minutos - 14 Botellas [TRBCGXG128F9322DBB] [deezer-4154705].npz,TRBCGXG128F9322DBB,4154705,22050,29.0,0,1,0.00785424,False,772
2 Minutos - 1987 [TRANPLE128F9322D6F] [deezer-3676321].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2 Minutos - 1987 [TRANPLE128F9322D6F] [deezer-3676321].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2 Minutos - 1987 [TRANPLE128F9322D6F] [deezer-3676321].npz,TRANPLE128F9322D6F,3676321,22050,29.0,0,1,0.015833324,False,772
2 Minutos - 2 Minutos [TRASMER128F4272C1D] [deezer-2065362].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2 Minutos - 2 Minutos [TRASMER128F4272C1D] [deezer-2065362].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2 Minutos - 2 Minutos [TRASMER128F4272C1D] [deezer-2065362].npz,TRASMER128F4272C1D,2065362,22050,29.0,0,1,0.013850217,False,772
2 Minutos - Cancion De Amor [TRAQRFD128F9322DE6] [deezer-4154499].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2 Minutos - Cancion De Amor [TRAQRFD128F9322DE6] [deezer-4154499].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2 Minutos - Cancion De Amor [TRAQRFD128F9322DE6] [deezer-4154499].npz,TRAQRFD128F9322DE6,4154499,22050,29.0,0,1,0.023265317,False,772
2 Minutos - Como Caramelo De Limón [TRALUTY128F9322DC0] [deezer-3069030921].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2 Minutos - Como Caramelo De Limón [TRALUTY128F9322DC0] [deezer-3069030921].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2 Minutos - Como Caramelo De Limón [TRALUTY128F9322DC0] [deezer-3069030921].npz,TRALUTY128F9322DC0,3069030921,22050,29.0,0,1,0.010859122,False,772
2 Minutos - Rompan Todo [TRAGETA128F4272C38] [deezer-2065443].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/audio/2 Minutos - Rompan Todo [TRAGETA128F4272C38] [deezer-2065443].wav,/storage/data4/up1072603/projects/ML-song-recommendation-system/msd_deezer_workspace/pretrained_embeddings/raw/2 Minutos - Rompan Todo [TRAGETA128F4272C38] [deezer-2065443].npz,TRAGETA128F4272C38,2065443,22050,29.0,0,1,0.016534913,False,772
