Song,Genre,Cluster,Probability,Distance,PCA1,PCA2
blues.00000,blues,0,1.0,1.5802767535339015,-1.055376989542133,-0.7053186668406699
blues.00001,blues,0,1.0,1.4299029712889462,-1.162630727928769,0.9465927784402353
blues.00002,blues,0,1.0,1.5909489987421968,-1.1055318620873793,-0.5859855651589841
blues.00003,blues,0,1.0,1.5462260912745487,-2.058187365966228,0.44475107852900414
blues.00004,blues,0,1.0,1.7118444183695478,-0.5741361098295036,0.24872956064804472
blues.00005,blues,1,1.0,2.4999136232240025,0.19915871762135745,1.8758732465855967
blues.00006,blues,0,1.0,2.3422345957862434,-1.126703231282809,1.7162585567472102
blues.00007,blues,0,1.0,1.7990784891034328,-1.1044545329175148,1.2395872782636406
blues.00008,blues,0,1.0,1.7321197124907075,-1.1271265690823211,-0.7383017448411427
blues.00009,blues,0,1.0,1.5554627952781586,-0.9985184689204998,0.746127405760974
blues.00010,blues,0,1.0,1.6296229521687031,-1.694092674603068,0.7708293709704926
blues.00011,blues,0,1.0,1.7884756987026618,-1.2730886787514881,1.4279555502132601
blues.00012,blues,0,1.0,1.4717800893268893,-1.2035314954965057,0.7556201467323027
blues.00013,blues,0,1.0,1.6133344402976897,-1.6369316319757945,0.23421142179313909
blues.00014,blues,0,1.0,2.250603521125092,-1.9639248957011861,1.4689329768555506
blues.00015,blues,0,1.0,1.6136335309431038,-1.4110654471106192,0.8987116913764349
blues.00016,blues,0,1.0,1.5570436169874566,-1.507075649466117,0.670829831226082
blues.00017,blues,0,1.0,1.6166462387731542,-1.8873826670677694,0.9490772204747063
blues.00018,blues,0,1.0,1.7561736540599195,-1.4492971231788376,0.6038137501220081
blues.00019,blues,0,1.0,1.6035222292803948,-1.538244892425383,1.0129121738506788
blues.00020,blues,0,1.0,1.5283477893665927,-1.808536426865348,-0.07537088798322891
blues.00021,blues,0,1.0,1.7865100097679962,-1.6064671421829124,1.3089756366494523
blues.00022,blues,0,1.0,1.8409032823141935,-1.3667653705220646,1.4297051636146956
blues.00023,blues,0,1.0,1.6409178407238987,-1.856138669931912,0.5286861790641314
blues.00024,blues,0,1.0,1.9125569967615168,-1.9542637431142367,1.0726939791646726
