Song,Genre,Cluster,Confidence,LogLikelihood,PCA1,PCA2
!!! - Myth Takes,dance-punk,3,1.0,162.24182,1.5801568,-0.36795974
&ME - The Rapture Pt.III,chill-out,3,0.9990391,143.9341,2.262181,0.411104
-M- - Close to Me,hard trance,3,0.9996186,152.02554,2.9016695,1.2079574
-M- - Je suis une cigarette,hard trance,3,1.0,165.03455,0.46394822,-2.6346476
-M- - Le Bug (Live 2005),hard trance,3,0.99998474,152.46428,0.37308675,0.17827834
13th Ward Social Club - Melody Nelson (Instrumental),brill building pop,3,1.0,152.99567,-0.32874152,-1.8122846
2 Minutos - 14 Botellas,skate punk,3,0.99998474,151.16805,-0.2571237,0.94292766
2 Minutos - 1987,skate punk,3,1.0,153.40385,-0.15071893,2.135638
2 Minutos - 2 Minutos,skate punk,3,1.0,161.77701,-0.8768427,2.1087773
2 Minutos - Canción de Amor,skate punk,3,1.0,161.54213,-0.045634616,2.6674354
2 Minutos - Como Caramelo De Limón,skate punk,3,1.0,160.64076,-0.45818198,2.4847353
2 Minutos - Rompan Todo,skate punk,3,1.0,169.15857,-0.4310082,2.3130763
2 Minutos - Tema De Adrian,skate punk,3,1.0,162.39029,-0.42606238,1.6723868
2 Minutos - Valentin Alsina,skate punk,3,1.0,159.01218,-0.39566654,2.6595252
2 Minutos - Vos No Confiaste,skate punk,3,1.0,167.12285,-0.23370348,2.5205495
20_20 - I Never Did No Hitler,power pop,3,1.0,162.7355,0.018485166,1.1516654
20_20 - So Many Reasons,power pop,3,0.95304257,151.55417,2.8886094,-0.08496403
22-20s - Hold On,blues-rock,1,1.0,157.67653,-1.0757778,1.0428451
2bona - Trampolina,teen pop,3,1.0,153.12762,3.1730804,-0.36917126
2Fresh - Get It Started,boogaloo,0,1.0,134.08742,7.63799,-2.0218883
2raumwohnung - Ja (Hanno's Poppersmonstermix),tech house,0,1.0,145.33855,3.3879068,-2.3311486
2raumwohnung - Lachen und weinen,tech house,3,0.99418813,151.50156,3.1491382,-2.388216
2raumwohnung - Mädchen mit Plan,tech house,3,1.0,164.01093,1.7821726,-1.1698076
2XL - Kissing Game,pop rap,3,0.99998474,158.97205,3.8303711,0.50172365
3 Doors Down - Be Like That,post-grunge,4,0.58767235,149.15378,0.26071328,0.79628944
3 Doors Down - Better Life,post-grunge,0,1.0,145.00072,-0.25395817,1.9455576
3 Doors Down - Duck And Run,post-grunge,0,1.0,149.98294,0.26927245,1.5153236
3 Doors Down - Here Without You,post-grunge,0,1.0,143.38434,-0.4764191,0.33656847
3 Doors Down - It's Not Me,post-grunge,0,1.0,148.8451,0.8815071,0.02284722
3 Doors Down - Sarah Yellin',post-grunge,4,0.99265707,153.14085,-0.39078775,1.9760603
3 Doors Down - Who Are You (Album Version),post-grunge,0,1.0,147.69623,-0.10717119,1.7399428
3 Of Hearts - Is It Love,electro,3,1.0,158.76195,0.21183573,-0.029739829
3 Steps Ahead - My Mind Is Gone (Interlude),gabba,3,1.0,145.69365,0.34961784,-0.72998863
3 Way Funk - Real Playaz,hyphy,3,0.99760723,141.88252,4.9845147,-1.2629691
32 Leaves - Way Beyond,modern rock,3,1.0,168.96704,-0.5566437,2.1896007
40 Grit - A Part Of Me,nu metal,3,1.0,165.60864,-2.0710032,0.7534896
40 Grit - Intro,nu metal,3,1.0,155.46255,-3.6456256,-1.2068026
404Soundlab - FORMULA,indie rock,3,0.98442125,147.21284,2.713502,-1.8621156
45 Grave - Party Time (Re-Recorded - 2022 Mix),deathrock,3,0.99998474,145.5808,-0.59291476,0.26800025
4Him - A Strange Way To Save The World,ccm,4,1.0,148.81738,-1.0278676,0.52558
4Him - He Never Changes,ccm,4,1.0,150.66304,0.25756302,1.3307474
4Him - Wings,ccm,4,1.0,142.42517,1.7127562,1.4332192
4Him - You Are Holy,ccm,4,1.0,153.7262,-0.58844596,0.9856183
5 Blind Boys Of Alabama - If You Don't Pray For Me,soul blues,3,1.0,159.3919,-0.4059001,-0.56164736
50 Cent - Outta Control (Remix),gangster rap,3,0.9934602,151.48486,3.0777287,-0.09021582
50 Cent - U Not Like Me,gangster rap,3,0.9870535,148.73148,3.1863613,0.27088377
5th Ward Boyz - Studio Gangster,hip hop,0,1.0,151.12985,0.79701734,0.30885378
5th Ward Boyz - Undercover Gangstas,hip hop,0,1.0,148.66502,3.0416257,-0.9945141
6CycleMind - Across the Universe,pinoy rock,3,1.0,160.01208,-0.2566236,0.8814009
6CycleMind - Talkin' Bout A Revolution,pinoy rock,3,1.0,157.5698,-0.59251046,-1.6398469
8Ball - I Don't Give A F___,southern rock,3,0.9999695,160.3937,3.7336466,-0.2002839
99 Posse - Rafaniello (Versione Strumentale),reggae,0,1.0,136.81366,3.707236,-2.5162997
99 Posse - Rafaniello,reggae,3,1.0,156.29462,2.635816,-0.7638336
A Boogie wit da Hoodie - Timeless (feat. DJ SPINKING) (Sped Up Version),chicago house,3,1.0,150.4018,2.3008559,-0.16259663
A Challenge Of Honour - Heiliges Feuer,jungle music,3,1.0,151.16435,-2.928277,-0.5671458
A Different Breed Of Killer - The Cleansing Apparatus,death core,3,1.0,168.01215,0.63311523,1.9953413
A Skylit Drive - Ability To Create A War,progressive metal,3,1.0,163.1555,-1.4310039,1.3107684
A Static Lullaby - God Bless You (Goddamn it) (Album Version),post-hardcore,3,1.0,168.02097,-0.81337875,1.953472
A Static Lullaby - Toxic,post-hardcore,3,1.0,160.99258,0.25234523,2.8016272
A Tribe Called Quest - Get A Hold,jazz rap,3,0.99998474,159.74431,1.6560705,-1.6120539
A Tribe Called Quest - Like It Like That,jazz rap,3,0.99998474,154.16066,2.739075,-2.8868568
"A Tribe Called Quest - Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) (LP Mix)",jazz rap,3,1.0,155.95738,1.2009118,-0.52887976
A Tundra - The Doug McComb Over,beat,0,1.0,141.51028,0.3467002,-0.3117476
A.R. Rahman - Rang De Basanti,bhangra,3,1.0,166.43643,1.3310547,-0.086759865
Aaron Neville - For The Good Times,post-grunge,0,0.6438973,143.2896,-1.9406252,-0.088126615
Aaron Watson - Rollercoaster Ride (Live),honky tonk,3,1.0,162.43939,-0.22132874,0.63562506
Aaron Watson - Sweet Contradiction,honky tonk,3,1.0,159.18793,-0.1568088,-0.058827236
Aaron Watson - That's What I Like About A Country Song (That's What I Like About A Country Song),honky tonk,3,1.0,167.4127,0.33138135,-0.49148306
Aaron Watson - Whiskey On The Fire,honky tonk,3,1.0,168.18536,-0.37724122,0.28647786
Abbott & Chambers - Never After,progressive trance,3,0.99221796,147.9403,0.9626319,0.08611132
Aberdeen - Beyond the Light,twee pop,0,1.0,126.139084,1.0044531,0.47374055
Abijah - Children Of Love,roots reggae,0,1.0,132.92357,-0.11496091,-1.1068705
Abijah - The Rock,roots reggae,4,0.9976986,150.70201,1.2257912,0.52116144
Abominable Iron Sloth - Sailing To The Edge Of The Earth,math rock,3,1.0,162.224,-0.835295,1.3177707
Abracadabra - Otra vez,hard trance,3,1.0,157.19736,2.6558487,-0.92096394
Abracadabra - Te estoy saboreando,hard trance,3,1.0,164.08363,2.27018,-0.096559264
Abraham Laboriel - Exchange,jazz,3,1.0,153.00014,2.7602005,-0.56108844
