Song,Genre,Cluster,Distance,PCA1,PCA2
!!! - Myth Takes,dance-punk,4,3.5505924469732233,1.2584391811261337,0.6049098327164387
(hed) Planet Earth - A Soldiers Intro,nu metal,1,7.472401559030337,7.726705986062217,-3.625991887258558
-M- - Close to Me,hard trance,4,3.9152536334091828,1.2970692863489972,4.087135921963667
-M- - Je suis une cigarette,hard trance,3,2.5809863792590817,2.005020296440172,-2.2293732313499746
-M- - Le Bug (Live 2005),hard trance,3,3.743733584271552,-0.5801812367546063,0.13979915825049016
10cc - I'm Not In Love,art rock,0,6.130839607191297,-2.41570464631535,1.3364643052016945
13th Ward Social Club - Melody Nelson,brill building pop,3,4.054474062616247,2.793279925312671,-3.2619277330503795
2 Minutos - 14 Botellas,skate punk,4,5.50151959429974,0.21460195522190165,1.4432684509557605
2 Minutos - 1987,skate punk,0,4.722944996779199,-1.373622218424618,1.8626732444464642
2 Minutos - 2 Minutos,skate punk,0,3.6803398149644027,-2.208188589724501,1.1345064009213954
2 Minutos - Canción de Amor,skate punk,0,3.327774556223591,-4.565787377487576,3.415938668957029
2 Minutos - Como Caramelo De Limón,skate punk,0,4.099749761427448,-5.282191552165,3.680529827806193
2 Minutos - Rompan Todo,skate punk,0,2.5581643699025967,-4.090342497289366,1.910905316204173
2 Minutos - Tema De Adrian,skate punk,0,3.5767831251783337,-3.0423759589007706,2.5674707804325587
2 Minutos - Valentin Alsina,skate punk,0,5.1783569685305375,-5.831631076711455,4.191595181730574
2 Minutos - Vos No Confiaste,skate punk,0,3.6618951227786685,-4.0708214697858205,3.2998948348269583
20_20 - I Never Did No Hitler,power pop,0,2.246186426933121,-2.347848049633358,1.7126716242817606
20_20 - It Goes On,power pop,4,2.5949335344180793,0.8247237195071634,1.757688524988371
20_20 - So Many Reasons,power pop,4,2.792996589360365,1.5345094665682666,1.8237952208176276
22-20s - Hold On,blues-rock,0,3.3533097809819696,-3.0533227766524047,-0.06370308893721968
2Fresh - Get It Started,boogaloo,1,6.63224464182392,6.162960312431211,3.9384109603238806
2Pac - 2 Of Amerikaz Most Wanted,glam metal,1,4.306405974816217,5.075656817562699,3.515754175008367
2Pac - Catchin Feelins,happy hardcore,4,4.658725551508641,2.5414457785597353,3.280035327704058
2raumwohnung - Ja (Hanno's Poppersmonstermix),tech house,1,5.078366889955041,3.6929443202144503,-0.8397186058280568
2raumwohnung - Lachen und weinen,tech house,1,6.691941826947148,7.33340980466694,1.2168311057035988
2raumwohnung - Mädchen mit Plan,tech house,1,4.836317907506186,3.437774030935886,0.8637735570635989
2XL - Kissing Game,pop rap,1,5.3573914257451385,5.126997248255123,3.6661407600922624
3 Doors Down - Be Like That,post-grunge,0,2.7319834155274445,-1.8095688702026138,1.5839033161069636
3 Doors Down - Better Life,post-grunge,0,1.9070453863659032,-3.567912366122253,2.3380657452517326
3 Doors Down - Duck And Run,post-grunge,0,1.900979646923624,-2.6064311659974537,2.0848839837060273
3 Doors Down - Here Without You,post-grunge,3,3.1223573966906017,-0.29142207211053545,0.193065399879809
3 Doors Down - It's Not Me,post-grunge,4,3.047626490690514,0.48156076133339704,0.5596217110650206
3 Doors Down - Sarah Yellin',post-grunge,0,2.2141477213684597,-3.585471482772009,2.115360126520842
3 Doors Down - Who Are You (Album Version),post-grunge,0,2.365281027033456,-2.557342491226338,1.680084587734774
3 Of Hearts - Is It Love,electro,4,3.6555651725487293,0.9346767379124719,1.3317284779815604
3 Steps Ahead - My Mind Is Gone (Interlude),gabba,1,3.818398020340497,5.120288044220444,-0.12337734352228448
3 Way Funk - Real Playaz,hyphy,1,6.558762599725776,7.576026247575538,2.393232624669294
32 Leaves - Way Beyond,modern rock,0,2.008889145753459,-3.4684191373055273,2.5604132924706424
40 Grit - A Part Of Me,nu metal,2,4.625879638649256,-3.0448047861384073,-1.6059062939577982
40 Grit - Intro,nu metal,2,4.013614974026627,-3.20799309634862,-5.645112082108379
45 Grave - Party Time,deathrock,2,6.303278399496074,-3.280212962841906,-2.8525476485256283
4Him - A Strange Way To Save The World,ccm,4,3.2623052659399385,-0.5536948530681327,0.47821248093803376
4Him - Freedom,ccm,4,2.3715760518444693,0.7579870472890962,2.4633602923621294
4Him - He Never Changes,ccm,0,3.7052693556856258,-2.1057555264056473,1.896731016612563
4Him - Wings,ccm,4,3.2519538386856053,-0.1755223386247987,3.553045610719736
4Him - You Are Holy,ccm,0,2.7580441473852217,-1.7688833877098362,1.28887385526736
5 Blind Boys Of Alabama - If You Don't Pray For Me,soul blues,3,4.614376210469732,1.5408521244130033,-0.12791743058261296
50 Cent - Outta Control (Remix),gangster rap,1,2.66235090858902,4.140255717678314,2.047722256436228
50 Cent - U Not Like Me,gangster rap,1,3.838134588907786,4.956664444104408,2.224815501946891
5th Ward Boyz - Studio Gangster,hip hop,4,3.8775110777302415,-1.0419162982820538,1.1417455957873464
5th Ward Boyz - Undercover Gangstas,hip hop,4,4.211232522555828,2.198306672453607,1.2858853695310046
6CycleMind - Across the Universe,pinoy rock,4,4.732762239658831,-1.6526253165500535,0.832299599252317
6CycleMind - Talkin' Bout A Revolution,pinoy rock,3,5.261895264109627,2.711854571877709,-1.7890374934004387
8Ball - I Don't Give A F___,southern rock,1,3.1989646579765734,4.278434910096092,2.795681018517243
99 Posse - Rafaniello (Versione Strumentale),reggae,3,4.318600113692005,1.8317690257990602,0.6829119157899288
99 Posse - Rafaniello,reggae,4,2.9263635099220733,1.3777509544197368,2.487236328297041
9th Wonder - Saved,hip hop,1,3.977241365101897,2.682305554625611,1.8014986174600272
A Boogie wit da Hoodie - Timeless (feat. DJ SPINKING) (Sped Up Version),chicago house,1,3.990692647806842,3.1636529144207404,2.0303872669001826
A Challenge Of Honour - Heiliges Feuer,jungle music,2,4.077778871380936,-4.283666407516338,-4.4914781351389745
A Different Breed Of Killer - The Cleansing Apparatus,death core,4,2.6418811559329702,-0.9935921103325803,1.6814155782748719
A Skylit Drive - Ability To Create A War,progressive metal,3,4.4041796060519935,-1.9952567592083836,-0.6348905537363149
A Static Lullaby - God Bless You (Goddamn it) (Album Version),post-hardcore,0,2.0727168770118447,-4.189496832380165,1.9160878690132956
A Static Lullaby - Toxic,post-hardcore,0,3.202676171790682,-2.980346430716868,2.7901278668500207
A Tribe Called Quest - Get A Hold,jazz rap,3,4.716068390593091,2.0062130240517497,-1.1359396935102977
A Tribe Called Quest - Like It Like That,jazz rap,1,6.22959599743484,7.828807631406135,-2.1916254818109393
"A Tribe Called Quest - Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) (LP Mix)",jazz rap,1,4.402152055426554,2.228563016135912,1.0794565277148174
A Tundra - The Doug McComb Over,beat,3,4.419539924535109,1.262045377187742,-0.6765548331475736
A'Studio - SOS,progressive house,1,4.503166083156095,5.497167610665532,3.6963278078247455
A.R. Rahman - Rang De Basanti,bhangra,4,3.3503228785778734,-0.30500266846600327,1.53964482500843
Aaron Neville - For the Good Times,post-grunge,3,3.4249703386592425,1.2949037379758894,0.401394490167736
Aaron Watson - Rollercoaster Ride (Live),honky tonk,4,2.6754191449321763,-1.2958312971483665,0.5161926993039773
Aaron Watson - Sweet Contradiction,honky tonk,4,2.568863246001733,-0.042038533330076316,0.4537257581820853
Aaron Watson - That's What I Like About A Country Song (That's What I Like About A Country Song),honky tonk,1,3.322352953042223,2.585860271874042,-0.09436790085433017
Aaron Watson - Whiskey On The Fire,honky tonk,4,2.7435895332773446,0.09046185120125332,0.5439796933160798
Abbott & Chambers - Never After,progressive trance,0,4.215421611248743,-2.2875459764209847,0.8398657909486089
Abbott & Chambers - Where Are You,progressive trance,4,4.173038095970048,0.2273309223726307,3.478952415700784
Aberdeen - Beyond the Light,twee pop,4,5.086699768898367,-0.01717877378160297,1.4090087953108739
Abijah - Children Of Love,roots reggae,1,5.243725732243119,3.7188137838383653,0.20304161303884932
Abijah - The Rock,roots reggae,4,4.087904710126373,1.7845959775047513,2.248606143952076
Abominable Iron Sloth - Sailing To The Edge Of The Earth,math rock,0,3.2740546495868736,-3.6181534294713056,2.0155046111102863
Abracadabra - Otra vez,hard trance,1,3.1781931359880886,4.797709579690088,2.6297891391034325
Abracadabra - Te estoy saboreando,hard trance,1,3.0764793823078613,4.332330944532885,2.4381812704772714
Abraham Laboriel - Exchange,jazz,4,4.133086698201359,1.8111365787509004,2.5520684622716283
Abraham Laboriel - Guidum (Live),jazz,3,5.618723263007548,0.366287771362659,-3.23402962905978
Abrar-Ul-Haq - Hello Hello,bhangra,4,3.6642186135610673,-1.2786476854986206,2.418527199663811
Abreu - Shame,shock rock,4,3.485191980509691,-1.7699354937849836,0.8445024577578182
Abysmal Dawn - Compulsory Resurrection,blackened death metal,0,3.366613219553254,-4.272147391893189,3.238430010475926
Abysmal Dawn - Programmed to Consume,blackened death metal,0,3.650466734627796,-4.306453249006093,3.9630296248122776
Ace Frehley - Fractured Quantum,hard rock,0,3.4554567528867928,-3.286824626312595,1.2658622031043287
Aceyalone - Let Me Hear Sumn (feat. Casual & Big Arch),hip hop,1,2.6175004369058863,5.682824602878916,1.6337340923693742
Aceyalone - Suicide,hip hop,1,3.945889679095926,4.4192132432710896,3.1197155247083344
Acorps de rue - Chanson Réaliste,musette,3,4.009218348103906,1.1627966096510387,-0.43685169374454264
Ada Jane - The Queen's Treatment,orchestra,3,3.4062694097779054,0.35904195264551075,-1.8683564092708866
Adalberto Santiago - Tu Me Desesperas,salsa,3,3.834363631857835,0.4307955782049287,-0.2906609366914957
Adam Ant - Friend Or Foe,pop rock,0,2.4968103898077,-3.8140072215921768,0.82632630441363
Adam Ant - Goody Two Shoes,pop rock,0,2.884391460804143,-3.3022217519331063,1.0375280095705457
Adam Ant - Mohair Locker Room Pin-Up Boys,pop rock,0,1.865177185131104,-3.9708868001577953,1.457070326168866
Adam Ant - Something Girls,pop rock,0,3.4889572730517755,-1.6956535927952912,0.5882205213687635
Adam Richman - From The Pain,power pop,3,4.85927477997093,1.3381454658587548,-2.879126365942139
Adolph Hofner - How I Miss You Tonight,western swing,2,2.59194143487108,-2.044860485275895,-5.5938148758223765
