Song,Genre,Cluster,Confidence,PCA1,PCA2,z1,z2,z3
!!! - Myth Takes,dance-punk,3,0.5310292,0.15906513,0.04909707,0.22907722,0.050462067,-0.24524337
(hed) Planet Earth - A Soldiers Intro,nu metal,0,0.77485615,-1.0900451,1.0590448,1.1879923,-0.5691048,-0.1688631
-M- - Close to Me,hard trance,21,0.9270746,-2.0961323,0.39468935,1.0626316,-1.850225,-0.19105057
-M- - Je suis une cigarette,hard trance,3,0.53104985,0.15998268,0.051334165,0.23479342,0.066770285,-0.24860266
-M- - Le Bug (Live 2005),hard trance,3,0.5310255,0.1450584,0.044473737,0.22590041,0.039059937,-0.2367369
10cc - I'm Not In Love,art rock,29,0.99765104,-0.6353713,-1.1038164,-0.45961118,-1.5228405,-0.24743587
13th Ward Social Club - Melody Nelson,brill building pop,3,0.53104174,0.17425631,0.031121455,0.22695032,0.068735704,-0.25555712
2 Minutos - 14 Botellas,skate punk,3,0.53105253,0.115905255,0.07789041,0.26391503,0.037655443,-0.2503842
2 Minutos - 1987,skate punk,29,0.99734676,-0.6315571,-1.0762441,-0.43172342,-1.4989378,-0.24506372
2 Minutos - 2 Minutos,skate punk,29,0.99747676,-0.5966996,-1.0955797,-0.4616859,-1.4878345,-0.24884994
2 Minutos - Canción De Amor,skate punk,29,0.9981232,-0.6562818,-1.1460476,-0.48519963,-1.5823156,-0.24357806
2 Minutos - Como Caramelo De Limón,skate punk,29,0.99803907,-0.62845886,-1.144265,-0.49826163,-1.5522945,-0.24660185
2 Minutos - Rompan Todo,skate punk,29,0.9980253,-0.6023593,-1.1481845,-0.50306934,-1.5336504,-0.24541815
2 Minutos - Tema de Adrián,skate punk,29,0.99796176,-0.60702395,-1.1404719,-0.49051526,-1.53096,-0.24644557
2 Minutos - Valentin Alsina,skate punk,29,0.99818265,-0.6602837,-1.1535935,-0.486487,-1.5948195,-0.24175271
2 Minutos - Vos No Confiaste,skate punk,29,0.99781966,-0.65992117,-1.1096418,-0.46262115,-1.555539,-0.2458696
20_20 - I Never Did No Hitler,power pop,29,0.9977118,-0.63993466,-1.0990328,-0.45771474,-1.5330784,-0.24231799
