title,artist,filename
Dark Horse,Katy Perry,Katy Perry - Dark Horse.mp3
"Nuthin' But A ""G"" Thang",Dr. Dre,Dr. Dre - Nuthin' But A _G_ Thang.mp3
Fight The Power,Public Enemy,Public Enemy - Fight The Power.mp3
The Message,Nas,Nas - The Message.mp3
C.R.E.A.M. (Cash Rules Everything Around Me),Wu-Tang Clan,Wu-Tang Clan - C.R.E.A.M. (Cash Rules Everything Around Me).mp3
Lose Yourself,Eminem,Eminem - Lose Yourself.mp3
California Love (Original Version),2Pac,2Pac - California Love (Original Version).mp3
"Shook Ones, Pt. III",Mobb Deep,"Mobb Deep - Shook Ones, Pt. III.mp3"
Straight Outta Compton,N.W.A,N.W.A - Straight Outta Compton.mp3
Dear Mama,2Pac,2Pac - Dear Mama.mp3
Hypnotize,System of A Down,System of A Down - Hypnotize.mp3
It Was A Good Day,Ice Cube,Ice Cube - It Was A Good Day.mp3
Stand Up,Ludacris,Ludacris - Stand Up.mp3
Hard Knock Life (Ghetto Anthem),JAY-Z,JAY-Z - Hard Knock Life (Ghetto Anthem).mp3
Ms. Jackson,OutKast,OutKast - Ms. Jackson.mp3
Big Pimpin',JAY-Z,JAY-Z - Big Pimpin'.mp3
Alright,Supergrass,Supergrass - Alright.mp3
Gin & Juice,Snoop Dogg,Snoop Dogg - Gin & Juice.mp3
Mind Playing Tricks on Me,Geto Boys,Geto Boys - Mind Playing Tricks on Me.mp3
N.Y. State of Mind,Nas,Nas - N.Y. State of Mind.mp3
In Da Club,50 Cent,50 Cent - In Da Club.mp3
Still D.R.E.,Dr. Dre,Dr. Dre - Still D.R.E..mp3
The World Is Yours,Arch Enemy,Arch Enemy - The World Is Yours.mp3
99 Problems,JAY-Z,JAY-Z - 99 Problems.mp3
The Breaks,Kurtis Blow,Kurtis Blow - The Breaks.mp3
Rapper's Delight,The Sugarhill Gang,The Sugarhill Gang - Rapper's Delight.mp3
I Used to Love H.E.R.,Common,Common - I Used to Love H.E.R..mp3
The Real Slim Shady,Eminem,Eminem - The Real Slim Shady.mp3
HUMBLE.,Kendrick Lamar,Kendrick Lamar - HUMBLE..mp3
Through The Wire,Kanye West,Kanye West - Through The Wire.mp3
Check the Rhime,A Tribe Called Quest,A Tribe Called Quest - Check the Rhime.mp3
The Way I Am,Eminem,Eminem - The Way I Am.mp3
Dead Presidents II,JAY-Z,JAY-Z - Dead Presidents II.mp3
They Reminisce Over You (T.R.O.Y.),Pete Rock & C.L. Smooth,Pete Rock & C.L. Smooth - They Reminisce Over You (T.R.O.Y.).mp3
My Name Is,Eminem,Eminem - My Name Is.mp3
One Mic Performance,Flocky Kayy,Flocky Kayy - One Mic Performance.mp3
Can't Tell Me Nothing,Kanye West,Kanye West - Can't Tell Me Nothing.mp3
What's Beef,JoeyAK,JoeyAK - What's Beef.mp3
Mo Money Mo Problems (feat. Puff Daddy & Mase) (2014 Remaster),The Notorious B.I.G.,The Notorious B.I.G. - Mo Money Mo Problems (feat. Puff Daddy & Mase) (2014 Remaster).mp3
Price Tag,Jessie J,Jessie J - Price Tag.mp3
Dreams and Nightmares,Meek Mill,Meek Mill - Dreams and Nightmares.mp3
I Got 5 On It,Luniz,Luniz - I Got 5 On It.mp3
Money Trees,Kendrick Lamar,Kendrick Lamar - Money Trees.mp3
Who Shot Ya? (2007 Remaster),The Notorious B.I.G.,The Notorious B.I.G. - Who Shot Ya_ (2007 Remaster).mp3
Walk This Way,Aerosmith,Aerosmith - Walk This Way.mp3
"Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) (LP Mix)",A Tribe Called Quest,"A Tribe Called Quest - Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) (LP Mix).mp3"
All Falls Down,Kanye West,Kanye West - All Falls Down.mp3
All Of The Lights,Kanye West,Kanye West - All Of The Lights.mp3
Flashing Lights,Kanye West,Kanye West - Flashing Lights.mp3
Day 'N' Nite (Nightmare),Kid Cudi,Kid Cudi - Day 'N' Nite (Nightmare).mp3
Mask Off,Future,Future - Mask Off.mp3
SICKO MODE,Travis Scott,Travis Scott - SICKO MODE.mp3
Bad and Boujee,Migos,Migos - Bad and Boujee.mp3
Life Goes On,Lil Baby,Lil Baby - Life Goes On.mp3
All Eyez On Me,2Pac,2Pac - All Eyez On Me.mp3
