Components,BIC,AIC
2,-432809.9042730558,-464977.30798339844
3,-410084.4607391826,-458338.3151855469
4,-392407.1672297235,-456747.4724121094
5,-382848.69952592836,-463275.45544433594
6,-365898.99586021923,-462412.20251464844
7,-342460.8820382601,-455060.53942871094
8,-347226.4540073166,-475912.56213378906
9,-315345.6333982481,-460118.1922607422
10,-290616.56510851556,-451475.57470703125
11,-272446.2105639001,-449391.6708984375
12,-246172.72052123788,-439204.6315917969
13,-227356.75110845844,-436475.11291503906
14,-206604.597735718,-431809.4102783203
15,-181435.485134462,-422726.74841308594
16,-165075.02133691695,-422452.7353515625
17,-146449.31754913752,-419913.4822998047
18,-127823.0632242487,-417373.6787109375
19,-111821.82489057077,-417458.89111328125
20,-87850.5709318929,-409574.087890625
21,-73513.88154841034,-411323.84924316406
22,-52779.56557801372,-406675.98400878906
23,-35401.21371894522,-405384.0828857422
24,-16888.039716321975,-402957.3596191406
25,3566.7685636449605,-398589.0020751953
26,23233.09759556502,-395009.1237792969
27,37138.27599271946,-397190.39611816406
28,57885.19926292077,-392529.9235839844
29,77484.6930897627,-389016.88049316406
30,95831.88015390933,-386756.14416503906
