Components,BIC
2,167831.52918454586
3,164014.4732397426
4,160706.16277452308
5,146810.70850666074
6,144517.84251089313
7,141133.5746520274
8,136983.69719500185
9,134156.652894562
10,131337.4683010008
11,128647.16807061405
12,126850.63514941614
13,125679.64591794602
14,124751.49938457312
15,124113.22773866665
16,123339.9841641637
17,122783.9502625886
18,122147.38402477844
19,121777.29150942618
20,121386.49682274823
21,121341.57372763827
22,121087.39705911065
23,120744.92474010086
24,120411.6912840824
25,119985.64655353542
26,119750.64460386462
27,119439.71491981881
28,119445.62781561461
29,119184.27360344687
30,119022.18897212017
