filename,status,before_duration_s,after_duration_s,duration_change_s,before_lufs,after_lufs,lufs_change,before_peak_db,after_peak_db,peak_change_db,gain_applied_db,was_cropped,was_removed,error
!!! - Myth Takes.mp3,processed,29.99,29.00,-0.99,-12.7,-15.8,-3.1,0.44,-2.58,-3.03,-3.1,yes,no,
(hed) Planet Earth - A Soldiers Intro.mp3,removed,11.99,,,-23.4,,,-4.47,,,,no,yes,
-M- - Close to Me.mp3,processed,29.99,29.00,-0.99,-13.7,-15.8,-2.1,0.94,-0.59,-1.53,-2.1,yes,no,
-M- - Je suis une cigarette.mp3,processed,29.99,29.00,-0.99,-19.6,-17.3,2.3,-3.19,-0.94,2.26,2.3,yes,no,
-M- - Le Bug (Live 2005).mp3,processed,29.99,29.00,-0.99,-13.2,-15.8,-2.5,0.20,-1.81,-2.00,-2.5,yes,no,
13th Ward Social Club - Melody Nelson (Instrumental).mp3,processed,29.99,29.00,-0.99,-15.0,-15.8,-0.8,-0.53,-0.96,-0.43,-0.8,yes,no,
2 Minutos - 14 Botellas.mp3,processed,29.99,29.00,-0.99,-20.5,-18.6,1.8,-2.75,-1.02,1.73,1.8,yes,no,
2 Minutos - 1987.mp3,processed,29.99,29.00,-0.99,-14.3,-15.8,-1.5,-0.08,-1.43,-1.35,-1.5,yes,no,
2 Minutos - 2 Minutos.mp3,processed,29.99,29.00,-0.99,-7.9,-15.8,-7.9,1.17,-5.66,-6.83,-7.9,yes,no,
2 Minutos - Canción de Amor.mp3,processed,29.99,29.00,-0.99,-20.7,-19.3,1.4,-2.37,-1.30,1.07,1.4,yes,no,
2 Minutos - Como Caramelo De Limón.mp3,processed,29.99,29.00,-0.99,-17.6,-17.1,0.5,-1.44,-0.90,0.54,0.5,yes,no,
2 Minutos - Rompan Todo.mp3,processed,29.99,29.00,-0.99,-10.0,-15.8,-5.8,0.72,-4.04,-4.76,-5.8,yes,no,
2 Minutos - Tema De Adrian.mp3,processed,29.99,29.00,-0.99,-18.2,-18.1,0.1,-1.09,-0.84,0.26,0.1,yes,no,
2 Minutos - Valentin Alsina.mp3,processed,29.99,29.00,-0.99,-18.4,-16.8,1.6,-2.59,-1.19,1.40,1.6,yes,no,
2 Minutos - Vos No Confiaste.mp3,processed,29.99,29.00,-0.99,-18.1,-17.5,0.5,-1.48,-0.92,0.56,0.5,yes,no,
20_20 - I Never Did No Hitler.mp3,processed,29.99,29.00,-0.99,-15.4,-16.0,-0.6,-0.33,-0.87,-0.54,-0.6,yes,no,
20_20 - So Many Reasons.mp3,processed,29.99,29.00,-0.99,-16.9,-17.9,-1.0,0.01,-0.68,-0.69,-1.0,yes,no,
22-20s - Hold On.mp3,processed,29.99,29.00,-0.99,-13.2,-15.8,-2.5,-0.33,-2.64,-2.31,-2.5,yes,no,
2Fresh - Get It Started.mp3,processed,29.99,29.00,-0.99,-13.7,-17.1,-3.4,2.43,-1.27,-3.70,-3.4,yes,no,
2XL - Kissing Game.mp3,processed,29.99,29.00,-0.99,-13.2,-15.9,-2.7,1.63,-1.02,-2.65,-2.7,yes,no,
2bona - Trampolina.mp3,processed,29.99,29.00,-0.99,-10.3,-15.8,-5.5,0.95,-3.52,-4.47,-5.5,yes,no,
2raumwohnung - Ja (Hanno's Poppersmonstermix).mp3,processed,29.99,29.00,-0.99,-15.9,-16.5,-0.7,-0.37,-1.05,-0.68,-0.7,yes,no,
2raumwohnung - Lachen und weinen.mp3,processed,29.99,29.00,-0.99,-13.2,-15.8,-2.6,-0.10,-2.51,-2.41,-2.6,yes,no,
2raumwohnung - Mädchen mit Plan.mp3,processed,29.99,29.00,-0.99,-13.2,-15.8,-2.6,0.31,-2.41,-2.72,-2.6,yes,no,
3 Doors Down - Be Like That.mp3,processed,29.99,29.00,-0.99,-11.8,-15.8,-4.0,0.31,-3.44,-3.74,-4.0,yes,no,
3 Doors Down - Better Life.mp3,processed,29.99,29.00,-0.99,-11.8,-15.8,-4.0,-0.39,-3.86,-3.47,-4.0,yes,no,
3 Doors Down - Duck And Run.mp3,processed,29.99,29.00,-0.99,-12.6,-15.8,-3.2,-0.42,-3.51,-3.10,-3.2,yes,no,
3 Doors Down - Here Without You (Acoustic Version).mp3,processed,29.99,29.00,-0.99,-13.7,-15.8,-2.1,-0.43,-2.36,-1.93,-2.1,yes,no,
3 Doors Down - It's Not Me.mp3,processed,29.99,29.00,-0.99,-12.7,-15.8,-3.1,0.92,-2.11,-3.03,-3.1,yes,no,
3 Doors Down - Sarah Yellin'.mp3,processed,29.99,29.00,-0.99,-11.7,-15.8,-4.1,0.61,-3.33,-3.94,-4.1,yes,no,
3 Doors Down - Who Are You (Album Version).mp3,processed,29.99,29.00,-0.99,-11.7,-15.8,-4.0,0.38,-3.27,-3.65,-4.0,yes,no,
3 Of Hearts - Is It Love.mp3,processed,29.99,29.00,-0.99,-13.9,-15.8,-1.9,-0.46,-1.99,-1.53,-1.9,yes,no,
3 Steps Ahead - My Mind Is Gone (Interlude).mp3,processed,29.54,29.00,-0.54,-23.3,-20.8,2.5,-3.47,-1.26,2.21,2.5,yes,no,
3 Way Funk - Real Playaz.mp3,processed,29.99,29.00,-0.99,-12.1,-15.8,-3.6,0.14,-3.04,-3.18,-3.6,yes,no,
32 Leaves - Way Beyond.mp3,processed,29.99,29.00,-0.99,-13.0,-15.8,-2.8,-0.46,-3.09,-2.63,-2.8,yes,no,
40 Grit - A Part Of Me.mp3,processed,29.99,29.00,-0.99,-12.5,-15.8,-3.3,-0.41,-3.01,-2.60,-3.3,yes,no,
40 Grit - Intro.mp3,processed,30.01,29.00,-1.01,-22.1,-18.1,3.9,-4.87,-0.99,3.88,3.9,yes,no,
45 Grave - Party Time.mp3,processed,29.99,29.00,-0.99,-12.4,-15.8,-3.4,-0.71,-3.52,-2.81,-3.4,yes,no,
4Him - A Strange Way To Save The World.mp3,processed,29.99,29.00,-0.99,-23.2,-19.1,4.1,-4.74,-0.77,3.97,4.1,yes,no,
4Him - He Never Changes.mp3,processed,29.99,29.00,-0.99,-18.8,-17.8,1.0,-1.94,-1.09,0.84,1.0,yes,no,
4Him - Wings.mp3,processed,29.99,29.00,-0.99,-14.9,-16.3,-1.4,0.41,-0.93,-1.34,-1.4,yes,no,
4Him - You Are Holy.mp3,processed,29.99,29.00,-0.99,-17.3,-17.5,-0.1,-0.82,-0.79,0.03,-0.1,yes,no,
50 Cent - Outta Control (Remix).mp3,processed,29.99,29.00,-0.99,-15.6,-16.0,-0.4,-0.69,-0.92,-0.24,-0.4,yes,no,
50 Cent - U Not Like Me.mp3,processed,29.99,29.00,-0.99,-11.0,-15.8,-4.8,1.26,-2.19,-3.45,-4.8,yes,no,
5th Ward Boyz - Studio Gangster.mp3,processed,29.99,29.00,-0.99,-12.5,-15.8,-3.3,0.16,-2.41,-2.57,-3.3,yes,no,
5th Ward Boyz - Undercover Gangstas (Screwed).mp3,processed,29.99,29.00,-0.99,-13.3,-15.8,-2.5,0.25,-1.75,-2.00,-2.5,yes,no,
6CycleMind - Across the Universe.mp3,processed,29.99,29.00,-0.99,-17.8,-18.1,-0.3,0.42,-0.63,-1.05,-0.3,yes,no,
6CycleMind - Talkin' Bout A Revolution.mp3,processed,29.99,29.00,-0.99,-14.7,-15.8,-1.1,-0.17,-1.34,-1.18,-1.1,yes,no,
8Ball - I Don't Give A F___.mp3,processed,29.99,29.00,-0.99,-13.5,-16.3,-2.8,1.81,-0.92,-2.73,-2.8,yes,no,
99 Posse - Rafaniello (Versione Strumentale).mp3,processed,29.99,29.00,-0.99,-17.6,-18.7,-1.1,0.08,-0.99,-1.07,-1.1,yes,no,
99 Posse - Rafaniello.mp3,processed,29.99,29.00,-0.99,-16.8,-17.8,-1.0,0.01,-0.92,-0.93,-1.0,yes,no,
9th Wonder - Saved.mp3,processed,29.99,29.00,-0.99,-12.6,-15.8,-3.2,0.97,-1.84,-2.81,-3.2,yes,no,
A Boogie wit da Hoodie - Timeless (feat. DJ SPINKING) (Sped Up Version).mp3,processed,29.99,29.00,-0.99,-10.9,-15.8,-4.9,0.79,-3.91,-4.71,-4.9,yes,no,
A Challenge Of Honour - Heiliges Feuer.mp3,processed,29.99,29.00,-0.99,-14.9,-15.8,-0.9,-0.72,-1.50,-0.78,-0.9,yes,no,
A Different Breed of Killer - The Cleansing Apparatus.mp3,processed,29.99,29.00,-0.99,-11.8,-15.8,-4.0,0.30,-2.38,-2.68,-4.0,yes,no,
A Skylit Drive - Ability To Create A War.mp3,processed,29.99,29.00,-0.99,-13.1,-15.8,-2.7,0.38,-1.70,-2.08,-2.7,yes,no,
A Static Lullaby - God Bless You (Goddamn it) (Album Version).mp3,processed,29.99,29.00,-0.99,-10.6,-15.8,-5.2,0.37,-4.52,-4.89,-5.2,yes,no,
A Static Lullaby - Toxic.mp3,processed,29.99,29.00,-0.99,-13.9,-15.8,-1.9,0.71,-1.20,-1.91,-1.9,yes,no,
A Tribe Called Quest - Get A Hold.mp3,processed,29.99,29.00,-0.99,-14.3,-15.8,-1.5,-0.02,-1.08,-1.06,-1.5,yes,no,
A Tribe Called Quest - Like It Like That.mp3,processed,29.99,29.00,-0.99,-15.1,-16.5,-1.4,0.45,0.57,0.12,-1.4,yes,no,
"A Tribe Called Quest - Scenario (feat. Busta Rhymes, Dinco D & Charlie Brown) (LP Mix).mp3",processed,29.99,29.00,-0.99,-18.7,-16.2,2.5,-3.24,-1.22,2.02,2.5,yes,no,
A Tundra - The Doug McComb Over.mp3,processed,29.99,29.00,-0.99,-18.4,-17.3,1.1,-2.16,-0.85,1.32,1.1,yes,no,
A.R. Rahman - Rang De Basanti.mp3,processed,29.99,29.00,-0.99,-14.4,-15.8,-1.4,0.07,-1.24,-1.31,-1.4,yes,no,
AFI - Affliction.mp3,processed,29.99,29.00,-0.99,-10.3,-15.8,-5.5,0.39,-4.45,-4.84,-5.5,yes,no,
"AFI - Darling, I Want To Destroy You.mp3",processed,29.99,29.00,-0.99,-11.6,-15.8,-4.2,0.81,-3.07,-3.88,-4.2,yes,no,
AFI - Summer Shudder.mp3,processed,29.99,29.00,-0.99,-11.9,-15.8,-3.9,0.61,-2.90,-3.52,-3.9,yes,no,
AFI - Too Shy To Scream.mp3,processed,29.99,29.00,-0.99,-11.3,-15.8,-4.4,0.56,-3.17,-3.73,-4.4,yes,no,
ANAT BEN-DAVID - Moon Boom.mp3,processed,29.99,29.00,-0.99,-13.8,-15.8,-2.0,-0.47,-2.61,-2.14,-2.0,yes,no,
ANAT BEN-DAVID - Robot Kid.mp3,processed,29.99,29.00,-0.99,-10.8,-15.8,-5.0,0.55,-3.85,-4.41,-5.0,yes,no,
ANTIGONE RISING - Don't Look Back (Radio Edit).mp3,processed,29.99,29.00,-0.99,-11.9,-15.8,-3.9,0.78,-2.60,-3.38,-3.9,yes,no,
ATB - Collides with Beauty.mp3,processed,29.99,29.00,-0.99,-11.8,-15.8,-4.0,-0.24,-3.96,-3.71,-4.0,yes,no,
ATB - Marrakech.mp3,processed,29.99,29.00,-0.99,-12.0,-15.8,-3.8,0.16,-2.55,-2.71,-3.8,yes,no,
ATMAN - All Is One.mp3,processed,29.99,29.00,-0.99,-14.0,-15.8,-1.7,0.15,-1.66,-1.81,-1.7,yes,no,
ATMAN - Dancing with the Goddess (ttt Rmx).mp3,processed,29.99,29.00,-0.99,-17.5,-18.3,-0.8,-0.26,-1.11,-0.84,-0.8,yes,no,
ATMAN - Distant Voices.mp3,processed,29.99,29.00,-0.99,-23.9,-19.4,4.5,-4.22,-1.19,3.03,4.5,yes,no,
ATMAN - Govinda.mp3,processed,29.99,29.00,-0.99,-16.6,-17.2,-0.6,-0.36,-1.15,-0.79,-0.6,yes,no,
ATMAN - Luminous Bliss.mp3,processed,29.99,29.00,-0.99,-15.0,-15.8,-0.8,-0.90,-1.77,-0.88,-0.8,yes,no,
AUDIO.3 - SPONT.AN.mp3,processed,29.99,29.00,-0.99,-15.4,-17.3,-1.9,0.78,-1.08,-1.85,-1.9,yes,no,
AZ - Aziatic (Outro) (Album Version).mp3,processed,29.99,29.00,-0.99,-13.7,-15.8,-2.1,0.60,-1.04,-1.65,-2.1,yes,no,
AZ - Pleas Made Against Stasis.mp3,processed,29.99,29.00,-0.99,-14.9,-15.8,-0.9,-0.58,-1.51,-0.93,-0.9,yes,no,
