title,artist,filename,genre
Soul Deep,The Box Tops,The Box Tops - Soul Deep.mp3,"blue-eyed soul, pop rock, blues-rock, beach music, soft rock"
Superconfidential,CLP,CLP - Superconfidential.mp3,"breakcore, miami bass, new rave, grime, breakbeat"
James (Hold the Ladder Steady),Sue Thompson,Sue Thompson - James (Hold the Ladder Steady).mp3,"pop rock, soft rock, blues-rock, doo-wop, chanson"
Sohna Nee Sohna Data,Faiz Ali Faiz,Faiz Ali Faiz - Sohna Nee Sohna Data.mp3,"qawwali, meditation, world music, world fusion, ethnic"
Gift of a Woman,John Wesley,John Wesley - Gift of a Woman.mp3,"disco, calypso, reggae, hard trance, dub"
Dónde Va Chichi?,Sierra Maestra,Sierra Maestra - Dónde Va Chichi_.mp3,"charanga, salsa, latin jazz, rumba, bolero"
Bota Culpa na Bebida,FP do Trem Bala,FP do Trem Bala - Bota Culpa na Bebida.mp3,"bachata, merengue, reggaeton, latin pop, spanish"
The Moon And I (Ordinary Day Album Version),Jeff & Sheri Easter,Jeff & Sheri Easter - The Moon And I (Ordinary Day Album Version).mp3,"southern gospel, bluegrass, gospel, ballad, california"
Caught In a Dream,Tesla,Tesla - Caught In a Dream.mp3,"hard rock, heavy metal, blues-rock, classic rock, garage rock"
Auguri Cha Cha Cha,Bob Azzam,Bob Azzam - Auguri Cha Cha Cha.mp3,"chanson, latin jazz, soul jazz, soft rock, jazz funk"
Twist And Shout,The Shangri-Las,The Shangri-Las - Twist And Shout.mp3,"doo-wop, ballad, pop rock, rock steady, soft rock"
I Think My Wife Is Running Around On Me (Taco Hell),Tim Wilson,Tim Wilson - I Think My Wife Is Running Around On Me (Taco Hell).mp3,"filk, comedy, spoken word, country, funny"
Keepin It Real (Skit),Rated R,Rated R - Keepin It Real (Skit).mp3,"breakbeat, dirty south rap, hip hop, electronic, trance"
Floating (2012 Remaster),Blue Rodeo,Blue Rodeo - Floating (2012 Remaster).mp3,"country rock, heartland rock, pop rock, folk rock, psychedelic rock"
